stage,axial,blastomeres,epidermis,eye,glial,immune,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,16.4,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.52,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.38,0,0,0,0,42.97,0,0,16.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,16.97,0,0,7.19,0,0,0,0
 14-21,0,0,0,0.82,0,0,0,0,9.95,0,0,0,0,2.71,0,0
 24-34,0,0,0.68,0.62,0.62,0,0,0,11.44,0,0,0,0.73,0.61,0,0
 36-46,0,0,0,3.82,0,0,2.32,0,10.74,0,1.01,0,1.1,0,0,0
 48-58,0,0,0,3.89,0.7,0,4.17,0,8.37,0,0.65,0,0,0.84,0.52,0
 60-70,0,0,0,0.98,11,0,0,0,1.53,0,0,0,0,1.16,0,0
 72-82,0,0,0,5.53,1.74,0,1.98,0,1.78,0,0,0,0,0,0,0.72
 84-94,0,0,0,0.86,0.84,0,0,0,3.63,3.1,0,0,0,0,0,0
 96-106,0,0,0,0,0.66,0.58,3.46,0.78,2.76,0,0.77,0,0,0,0,0
108-118,0,0,0,0,0,0,1.73,0,0.83,0,0,0,0.44,0,0,0
120,0,0,0,0,1.07,0,0,0,3.31,0,0,0,0,0,0,0
