stage,blastomeres,epidermis,erythrocytes,eye,immune,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,spinal.cord,vasculature
  5-6,9.59,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.67,4.41,0,0,8.53,0,0
 10-12,0,0,0,0,0,0,0,6.23,0,0,0,4.19,0,0
 14-21,0,0,0,0,0,0,0,2.55,0,0.84,0,0.98,0,0
 24-34,0,0,0,0,0.88,0,0,5.25,0,0,0,0,0,0
 36-46,0,0,0,0,1.64,0,1.24,15.16,0,0,0,0,1.38,0
 48-58,0,0,0,0.91,0,1.54,0,10.57,0,0,1.14,0,3.98,0
 60-70,0,0,0,0,2.87,0,1.98,9.58,0,0,0,0,3.61,0
 72-82,0,0,0,3.37,1.37,0,2.81,5.73,0,0,1.64,0,3.18,0
 84-94,0,0,0,0,5.46,0,0.61,8.25,0,0,0,0,0,1.04
 96-106,0,0.98,6.61,0,12.39,0,0,0,0,0,0,0,0,0.7
108-118,0,0,0,0,6.43,0,0,1.14,0,0,0,0,0,0
120,0,0,0,0,19.5,0,0,0,0,5,2.43,0,0,0
