stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.58,713.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.14,0,0,0,0,0,0,0,0,0,0
  5-6,58.75,653.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.14,0,0,0,7.98,0,38.17,0,0,0,0,0,0,0,0,0,0
  7-9,3.28,16.34,0,0,0,12.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.73,11.79,0,0,47.7,0,0,5.15,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.58,0,0,0,10.44,0,0,0,4.43,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.82,0,0,51.23,7.97,0,0,0,0,0,0,0,0,0,0,2.35,2.95,0,0.92,0,0
 24-34,0,0,1.17,0,0,2.96,0,0,0,0.65,0,0,0,0,0,0,0,0,52.84,0,0,37.2,39.66,1.44,0,0.95,0,0,0,0,0,0,2.54,1.41,82.8,0,3.43,0,0
 36-46,0,0,0,0,0,8.2,0.62,0,1.78,51.08,0,0,0,0,0,0,0,0,23.38,0,0,30.44,44.89,0,0,0.75,0,0,0,0,0,0,0,0,210.34,5.7,4.91,0,0
 48-58,0,0,0.69,0.69,0,37.16,0,0.89,2.78,340.54,0,1.4,0,0,0,0.77,0,6.42,86.31,0,0,12.75,96.42,0,0,0,0,0,0.39,0,0,0,0.4,0,543.96,0.61,12.59,0,0
 60-70,0,0,16.96,0,0,52.03,0,1.18,38.74,1038.45,0,0,0,0,0,0,0,0,245.14,0,12.4,15.85,92.12,0,1.1,0,0,66.62,0,0,0,0,0,0,486.31,8.74,12.31,12.99,0
 72-82,0,0,16.43,1.84,0,117.68,1.87,12.85,75.78,1131.95,2.11,0,0,0,0,0.91,0,0,526.1,0,34.94,28.31,184.67,0,0,0.78,0,57.57,3.2,0,0,0,0,0,439.4,29.23,48.59,53.68,0
 84-94,0,0,58.89,0.64,0,108.49,0,0,66.06,690.32,1.69,1.06,2.74,0,1.03,1.1,0,0,340.49,0,33.71,12.95,67.19,0,0,0,0,27.81,1.36,0,0,0,0,0,469.47,33.51,28.87,57.01,0
 96-106,0,0,82.42,9.36,0,124.54,2,6.66,49.7,743.39,0,1.82,0.63,0,0.6,2.7,1.03,0,610.86,0,30.48,24.6,155.46,0,0.71,0,0,114.13,4.63,0,0,1.39,0,0,573.74,27.58,60.35,137.36,0
108-118,0,0,260.88,0.58,0.65,86.33,0.86,10.19,56.27,751.27,0,0,0,1.4,0.83,1.33,8.51,0,592.39,2.3,58.79,21.25,127.61,0,1.61,0,0,185.59,0,0.42,0,1.02,0.88,0,260.76,98.59,46.97,145.72,1.91
120,0,0,302.06,1.96,0,58.72,0,14.56,21.02,1407.97,0,0,9.35,0,0,0,4.16,0,558.74,0,78.35,11.05,200.86,0,0,0,0,136.14,0,0,0,0,0,0,342.14,48.19,182.89,264.7,0
