stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.93,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,14.17,4.21,0,0,0,0,0.92,0,0,0,0,0,3.65,0,0,2.81,23.53,0,0,0,0,5.9,5.74,1.13,15.51,15.5,0,0
 24-34,0,5.38,0,3.03,0.89,0,0,0,0,0,0,0,0,3.77,2.05,0,2.94,21.45,0,0,0,0,16.62,0,0,2.32,1.49,0,0.61
 36-46,0,1.18,0,9.74,0,0,4.13,0,0,0.68,0,0,0,3.2,0,0,0.66,46.37,0,1.19,1.81,0,0.78,0,0,0,7.49,0,0
 48-58,0,0,0,0.6,0.8,0,2.77,0,0,0,0,1.59,0,5.01,0,0,0.53,34.62,0,0.91,0,0,0,0,0,0,9.7,0.84,0
 60-70,0,0,0,3.38,9.41,0.91,0.77,0,0,0,0,0,0,3.54,0,3.5,0,23.64,0,0,0.85,0,8.51,0,0,0,1.83,0,0
 72-82,0,0.65,3.24,15.95,0,0,0.89,0,0,0,4.24,0,0,4.51,0,1.65,0,39.07,0,4.19,0,0,3.09,0,0,0,4.72,0,0
 84-94,0.66,5.25,0.6,10.47,0.66,0,0,0,0.78,0,0,0,3.45,5.37,0,0,0,12.66,0,4.05,0,0,8.57,0,1.09,0,6.11,0,0
 96-106,0,2.36,0,10.55,0,0,2.88,0,0.83,2.93,0,0,0,4.68,1.52,0,0,17.56,0,0,0,0,22.03,0,0,0,1.07,0,0
108-118,0,4.74,2.13,10.88,1.73,0,3.9,0,1.34,0.59,0,2.23,0,11.54,0,0,0.64,15.67,0.43,0,6.33,0,15.14,0,0,0,0,0,0
120,3.64,0,0,0,0,0,2.14,0,0,0,0,0,0,24.75,0,0,0,17.35,0,0,0,0,3.97,0,0,0,0,0,0
