stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,33.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,51.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.33,0,0,0,0,0,4.86,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,49.03,7.18,0,0,13.72,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.14,0,25.78,0,0,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.67,4.69,0,0,19.37,0,0,0,3.38,0,0,9.29,0,0,0,0
 14-21,0,0,0,0,6.89,0,4.59,0,0,0,187.31,2.16,0,0,0,0,0,0,2.02,9.9,0,6.81,114.09,3.87,0,18.39,1.21,0,0,3.46,0,0.93,6.4,414.99,0,0,0,3.62
 24-34,0,0,0,0,0.61,0.81,13.06,0,11.21,1.23,299.15,0,0,0.68,0.77,0.7,0.68,2.36,35.44,15.35,0,3.87,156.38,4.31,6.38,2.75,0,0,0,0,10.45,0,2.52,446.02,0,0,2.34,0
 36-46,0,0,0,0,2.42,0,22.7,0,0.62,0,93.2,0,0,0,1.23,0,0,0,131.93,12.08,0,0.76,169.71,0,14.54,7.64,0,0,0,0,3.13,0,0,306.58,0,0,0,0
 48-58,0,0,0,0,2.37,0,45.67,0,0,0.6,78.97,0,0,0,0,0,0,0,61.1,11.31,0,2.66,122.34,0,11.37,2.56,0,0,0,0,0,0,0,222.75,0,0,0.92,0
 60-70,0,0,0.7,0,0,0,39.62,0,0,0,86.82,0,0,0,0,0.78,0,0,28.68,7.41,6.11,0,87.92,0,31.62,3.01,0,0,0,0,0,0,0,140.1,0,0,1.11,0
 72-82,0,0,0,0,0,1.45,72.38,0,0,1.76,103.82,0,0,1.55,0,0,0,0,41.79,18.78,0,0,122.02,0.82,26.44,14.15,0,1.61,0,0,0,0,0,174.69,0,0,0,0
 84-94,0,0,0,0,2.41,1.66,70.91,0,0,0,99.18,0,0,1.44,0.68,0,7.18,0,68.78,20.44,0,0,66.98,0,56.05,26.99,0,0,4.2,0,0,0,0,175.72,0,1.38,3.38,0
 96-106,0,0,0,0,5.54,0,63.49,0,0,0,76.92,0,0,2.52,4.05,0,0.64,0,55.23,15.34,0.71,0,49.03,0,43.94,16.37,0,5.34,0,0,0,0,0,140.45,0,0,0,4.25
108-118,0,0,0,0,2.29,0,58.1,1.5,1.48,0,81.06,0,0,0.58,0,0.41,0,0,68.28,7.72,0.61,1.58,68.19,0.43,38.73,12.49,0,0,0,0,0,0,0,137.63,1.01,0,0.45,6.96
120,0,0,0,0,3.42,0,40.78,0,4.2,0,117.99,0,0,1.18,1.63,0,0,0,36.05,15.74,0,0,83.53,0,37.39,4.43,0,0,0,0,0,0,0,62.84,0,0,0,0
