stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,32.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,57.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0
 14-21,0,0,11.82,0,0,0,0,180.81,0,4.2,0,0,1.97,0,0,0,1.38,0,0,0
 24-34,0,0,3.98,0.61,0,0,1,255.01,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,138.42,0,3.76,0,0,0,0,0,0,0,0,0,0
 48-58,0,0.71,0,1.27,0,0,0,31.34,0,12.88,0,0,0,0,0.47,0,0,0,0,0
 60-70,0,1.55,0,1.84,0,0,0,44.59,0,16.14,0,0,0,0,0,0,0,0,0,5.7
 72-82,0,11.1,10.78,7.83,0,0.77,0,17,0,18.12,0,1.14,3.55,0,15.39,0,0,1.61,0,3.06
 84-94,0,2.8,29.08,0,0,0,0,19.95,0.78,21.43,0,0,2.04,0,32.93,0,0,0,1.76,6.81
 96-106,0,33.02,4.7,4.3,0.96,0,0,79.36,2.2,14.09,0,0,0.73,0,5.7,0.71,0,0,0,49.52
108-118,0,24.9,18.39,9.13,0.73,0,0,73.07,3.21,19.99,1.27,0,3.11,0,19.04,0,0,1.18,0,42.61
120,0,16.28,52.22,0,1.12,0,0,176.81,3.01,17.01,0,0,7.96,0,1,0,0,0,0,28.14
