stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.06,0,0,2.35,0,0,0,0,0,0,0,0,0,1.56,0,0,0,1.82,0,0,0,0,0.9,1.21,3,1.74,0,0,0,0
 24-34,0,0,0,0,1.34,0,0.71,0,0,1,0,0,0,0,0.6,0,0,0,17.11,1.13,0,0,0,0,0,0.78,7.06,0,1.37,0,1.68
 36-46,0,0,0,0,3.77,0,2.25,4.07,0,0,1.54,0,0.61,1.71,1.04,0,1.94,0,31.1,0,0,0,0,0,0,0,12.48,0,17.56,0,0.66
 48-58,0,0,2.22,0,14.08,0,0,1.35,0,0,8.09,0.49,0,2.87,3.53,0,0,0.42,51.11,0,0,0,0,0,0,0,15,0,12.45,0,1.04
 60-70,0,0,0,0,27.04,0,0,2.87,0,0,0,0,2.37,3.77,2.85,0,0.81,2.89,196.41,0,0,0,0,0,0,0,12.89,0.67,12.96,0,0
 72-82,0,2.64,0,0,57.99,1.04,0.63,3.64,0.61,0.79,1.75,0,0.69,0,9.99,0.79,0,2.62,230.64,0,0,0,0,0,0,0,19.92,0,36.74,0,2.94
 84-94,0,1.63,0,0,69.29,0,0,0,0,0,5.03,2.4,2.04,0,8.4,0,0.66,0.56,181.73,0,0,0,0.76,0,0,0,7.6,0,29.38,0,0
 96-106,0,3.64,0,0,49.78,0,0,1.76,0,0,9.24,0.8,0.95,0,15.82,0,0,3.98,131.27,0,0,0,1.88,0,0,0,5.98,6.14,26.11,6.6,0.9
108-118,0,3.5,6.01,0.5,56.71,0,0.62,3.69,3.56,0,9.02,0,11.49,4.52,11.09,0,0,1.93,235.81,0,0,1.58,0,0,0,0,5.98,0,25.63,13.5,10.98
120,0,8.26,1.71,0,125.59,0,2.48,2.42,0,0,4.19,0,4.33,0,8.53,0,0,6.72,320.56,0,2.45,13.12,0,0,0,0,9.07,0,20.2,18.21,0
