stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,16.24,70.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,83.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.37,0,16.15,0,0,0,0,0,0,17.84,0,0,0,0,0,0,0,116.29,22.46,0,0,37.95,0,0,0,0,0,0,0,0,0
 10-12,0,13.19,0,5.91,0,0,12.74,0,0,0,0,0,0,0,0,0,0,0,556.15,19.6,0,0,149.34,0,0,0,25.89,0,0,0,0,0
 14-21,0,0,0,1.03,14.6,0,0.87,0,91.96,2.17,0,0,0,0,8.76,0,0,4.47,59.61,2.1,8.22,16.4,7.04,0,0.98,2.13,51.96,6.83,199.18,0,0,0
 24-34,0,0,0.9,0,3.36,0.64,2.3,0,56.74,0,0,0.68,0,0,7.98,0.69,0,1.04,111.49,1.8,20.61,3.07,0,0,0,0,18.12,0.82,130.49,0,1.49,0
 36-46,0,0,0,0,1.41,0,1.98,1.05,34.67,0.73,0,0.65,0,0,8.27,0,0,2.17,132.23,1.42,23.34,0,0,0,1.24,0,5.42,0,91.71,0,0.69,2.27
 48-58,0,0,0,0,3.65,0,20.97,0,19.9,0,0,0,0.52,0.41,5.08,0,0,2.74,98.82,0,10.45,1.41,0,0,0.52,0,7.68,0,83.21,0,0,0
 60-70,0,0,0,0,0,0,35.95,0,34.21,0,0,0,0.92,0.64,11.99,0,0,0,69.1,0,7.22,2.34,0,0,0.68,0,2.92,0,21.84,0,1.41,0
 72-82,0,0,2.23,0,0,0,5.85,0,18.78,1.3,0,0,0,3.74,14.4,0,0,0,33.15,0,21.34,2.49,0,0,1.75,0,0,0,7.46,0,0,0
 84-94,0,0,1.16,1.01,0.57,0.78,6.85,1.22,19.45,0.73,0,0,3.02,0.8,0.8,0,0,0,31.28,0,10.76,4.71,0,0,3.11,0,1.4,0,8.41,0,0,0
 96-106,0,0,0,0,0,0,4.46,0,7.86,3.96,0,0,1.93,3.87,14.84,0,0,2.66,5.59,0,31.58,5.54,0,0,3.22,0,0,0,8.05,1.23,0,1.22
108-118,0,0,0,0,3.64,0,5.47,0.89,25.1,0,0,0,5.98,2.9,6.44,0,0.49,0,53.45,0,10.58,4.56,0,1.76,1.36,0,0,0,10.4,0.41,0,0
120,1.12,0,0,1.28,9.47,0,22.15,0,14.9,0,0,0,4.59,0,13.49,0,0,0,75.25,0,2.68,11.47,0,0,0,0,13.92,0,1.17,0,7.78,0
