stage,endoderm,epidermis,eye,fin.epithelia,gut,immune,lateral.line,mucous,neural,olfactory,otic,periderm,taste
 36-46,0,0,1.25,0,0,0,0,0,4.11,0,0,2.39,0
 48-58,0,0,0,0,0,0,0,0,4.46,0.44,0.41,0.86,0
 60-70,0,0,0,0,0,0,0,0,2.69,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,6.42,0.74,0,0.84,0.82
 84-94,0,0,0.73,0,0,0,0,0,0,0,0,0,0
 96-106,0,0.62,0,0,1.73,0,0,1.83,4.48,0,0,6.62,0
108-118,0.74,0,0,0,0.78,0.63,0.96,4.48,4.15,0,0,2.84,0
120,0,3.93,0,4.62,1.92,0,0,0,0,3.8,0,0,0
