stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,47.04,474.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0,0,0,0
  5-6,10.91,221.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66,0,0,0,0,0,16.73,0,0,0,0,0,0,0,0,0
  7-9,10.05,26.52,0,54.59,0,0,0,49.08,0,0,0,0,9.37,0,0,0,0,0,0,0,0,0,0,0,336.4,11.25,0,0,113.72,0,8.05,4.77,0,0,0,0,0,0,0,0
 10-12,0,11.46,0,44.61,0,0,0,46.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.73,11.08,0,0,111.27,0,0,11.92,0,22.6,0,0,0,0,0,0
 14-21,0,0,1.69,0.84,4.65,2.08,0,3.86,0,0,2.59,0,0,0,0,0,0,0,0,0,8.69,0,0,0,63.69,2.75,1.03,0.95,2.92,0,0.98,0,13.31,0,4.22,39.73,0,0,0.84,0
 24-34,0,0,1.93,1.99,5.51,0,0,15.65,0,0,1.73,0.66,0,0,0,0,0,1.28,0,0,16.32,0,0,2.84,218.68,0,6.66,0,0,0,4.55,0,0,0,0,47.05,0,0,3.17,0
 36-46,0,0,0,0,1.07,0.58,0,24.48,0,0,9.56,0,0,0,0,0,0,0,0,0,13.6,0,0,3.27,255.06,0,1.89,0,0,0,4.49,0,0,0,0,60.06,0,0,0,0
 48-58,0,0,0,0,1.55,0,0,66.44,0,2.77,13.56,0,0,0.47,0,0,0,0.97,1.59,0.4,16.71,0.88,0,3.01,258.55,2.02,0.76,0.42,0,0,1.06,0,0,0,0,48.16,0,0,0.83,0
 60-70,0,0,0,0,0,0,0,124.13,0,2.66,12.37,0,0,0,0,0,0,0,0,0,14.22,1.02,1.77,2.78,425.98,1.03,0,0,0,0,7.66,0,0,0,0,26.05,0,0,1.11,1.41
 72-82,0,0,0,0,2.59,0,0,81.2,0,0,19.57,1.79,0,0,0,0,0,5.25,1.24,0.57,33.74,0,0,1.08,270.44,0,0,2.74,0,0,2.84,0,0,0.73,0,39.48,0,0.73,1.04,0.9
 84-94,0,0,1.05,0,6.66,0,0,77.09,0,1.51,2.94,0,0.6,1.22,0,0,0,2.86,0,0,28.43,5.77,0,1.6,177.42,0,1.54,6.38,0,0.77,5.74,0,0,0,0,10.22,1.21,0.98,0.93,0
 96-106,0,0,0,0,0.71,0,0.97,51.94,0,0,6.75,0.93,0,0,1.46,0.86,0,3.79,0,0,23.65,0,0,1.65,125.98,0.58,3.07,3.13,0,0,10.84,0,0,0.7,0,11.41,0,0,1.85,2.17
108-118,0,0,0,0.49,0.87,0.49,0,61.62,1.01,0,7.86,4.23,0,0,0,0,0.74,3.28,0,0,33.08,0,0,1.15,149.22,0.45,7.65,3.65,0,0,4.89,0,0,2.28,0,5.95,0.55,0,3.23,0
120,0,0,0,0,1.2,1.53,0,48.6,3.6,0,19.8,2.12,0,0,0,0,0,11.04,15.42,0,10.39,0,1.26,0,292.96,0,0,0,0,0,6.72,0,0,0,0,4.78,0,0,16.56,8.57
