stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,3.59,0.84,12.91,0,0,0,0,0.81,0,0,0,0,0,0,4.76,0,2.03,29.37,0.83,0,0.81,0,0,1.85,0,1.21,2.06,0,0,0
 24-34,0,0,1.49,0.81,114.58,0,0,0,0,0,0,0.69,0,0,0,1.29,10.2,0,6.25,106.93,0,0,0,0,0,0,0,0.61,8.36,0,1.53,0
 36-46,0,0,2.65,0,221.15,0,0.74,0,0.73,0,0,0,0,0,0,0,3.07,0,0.57,31.19,0,0,0,0,0,0,0,0.6,1.35,0,0,0
 48-58,0,0,0,0.47,1095.03,0,0,0,4.03,1.15,0,0,1.9,0,0,0,16.67,4.67,1.03,60.51,0,0,0.67,0,0.4,0,0,0,12.55,0,2.76,0
 60-70,0,0,4.76,0,4279.14,0,3.13,0.62,9.5,0,0,0.71,0,0,0,7.55,7.06,0,4.74,71.09,0,1.43,0,0,1.75,0,0,0,11.93,0.67,0,1.82
 72-82,0,0,10.69,15.06,3979.33,1.11,0,1.46,11.64,1.26,0,0,0,0.66,0,7.34,21.52,0,2.06,63.91,0,0.88,0.71,0,1.21,0,0,0,2.65,0,1.84,0
 84-94,0.62,2.82,10.27,0.72,4617.54,0,1.76,3.88,12.49,0,0,0,5,0,0,0,54.96,5.08,4.37,47.44,1.93,0,0,0,2.09,0,0,0,1.18,1.08,4.94,3.44
 96-106,0,1.56,8.95,2.97,2867.62,2.04,0,0,14.87,0.67,1.8,0,0,0.77,0,0,43.17,0,0,64.44,0,2.04,1.26,0,0,0,1.79,0,0,0,3.94,0
108-118,0,0,4.58,4.84,2451,2.42,0.57,1.64,13.01,0.69,1.36,0,0,2.03,2.22,0.51,35.05,0,1.22,72.75,1.71,4.88,0.75,7.97,3.31,0,0,0,0,0.96,6.74,0
120,0,0,9.71,4.26,2108.06,0,0,0,5.37,0,1.06,0,0,0,0,0,22.15,0,4.53,102.46,0,12.84,8.85,0,4.52,0,0,0,0,0,0,0
