stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle
 14-21,0,0,0,0.81,0,0,0,0,0,0,0,0,0,9.62,0,0.84,0,0,5.18,0,0
 24-34,0,0.69,0,0,0,0,0,0,0,0,0,0,0,64.86,0,1.32,2.32,0,15.89,0,0
 36-46,0,0,0,3.23,2.67,0,0,0,0,2.96,0,0,0,180.73,0,0,0,0,37.36,0,0
 48-58,0,6.56,0,21.16,6.68,0,0,0,6.21,5.92,0,0,0.52,251.81,0,0,0,0,60.13,0,0
 60-70,0,1.29,0,57.9,0,0,0,0,0,1.52,0,0,2.19,404.1,0,3.17,0,0,65.11,0,0.79
 72-82,0,7.1,0,97.01,12.14,0,0,0,0,4.48,0,0.51,0,417.29,1.43,0,2.14,0,46.75,0,0
 84-94,0,0,1.88,64.49,6.74,0,0.69,0,0,6.16,0,0,0,296.77,2.7,1.19,0,0,26.83,0,0
 96-106,0.89,1.67,6.09,71.38,21.61,2.44,0,1.54,0,0.97,1.8,0,0.78,236.46,1.2,0,0,0,25.29,0,0
108-118,0,0,1.25,87.41,7.01,0,0,0,0,0.67,0,0,0,291.16,0,1.28,0,0.42,3.18,1.13,0
120,0,0,3.81,107.76,33.19,3.58,0,0,0,0,0,0,0,740.98,0,1.74,3.64,0,65.79,0,0
