stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1.98,0,160.98,0,1.56,0,0,0,0,4.38,0,14.24,0,0,0,0,0,0,6.78,0,0,21.21,12.97,0,0,2.9,0,2.94,1.01,1857.91,163.88,5.08,0,278.72,0,0
 24-34,0,0,0,0.66,31.72,0,1.47,0,0,0,1.89,0,0,0.79,0,0,0,0,0,0,4.08,0,0,5.69,24.13,0,0,3.3,0,6.99,1.39,299.42,4.74,1.54,0,777.21,0,0
 36-46,0,0,0,8.98,3.38,0,36.41,0,0,0,0,0,0,2.9,0,0,0,0,0,0,5.49,1.07,0,11.36,54.09,0,0,0.9,0,6.89,0,61.22,0,1.13,0,483.67,0,1.54
 48-58,0,0,0,0,0,0,19.53,6.22,0,0,0.76,0,0,1.31,0.42,0,0,0,0,0,11.97,0,0.43,5.06,105.5,0,0,0,0,0,0,28.31,0,1.04,1.48,564.57,0,0
 60-70,2.52,0,0,1.57,40.15,0,591.46,15.1,0,0,0,0,0,0,2.38,0,0,0,0,0,21.2,0,0,7.3,56.67,0,0,8.82,0,0,0,7.12,0,0,0.9,415.25,6.07,0.97
 72-82,0,0,0,6.16,4.86,0,2148.89,3.83,0,3.02,7.74,0,0,5.62,7.63,0,0,0,0,0,56.84,0,10.22,5.84,77.25,0,0,4.81,1.65,0,0,2.57,0,7.4,6.79,869.87,2.16,0
 84-94,0,0,0,9.64,0.82,1.12,2930.12,8.21,0,0,6.96,1.7,0,0,6.63,0,1.3,0,0,0,68.24,0,8.28,8.87,66.26,0,0,1.94,0,0,0,0,0,3.71,2.3,871.44,0,0
 96-106,0,2.49,0,36.73,27.86,1.12,2394.85,6.66,0,0,10.56,0.72,0,7.25,11.45,0.98,5.57,0,6.27,0,45.63,1.66,10.28,8.16,68.39,0.58,0.84,11.14,0,0,0,2.4,0,0,0.58,1094.52,0.89,5.9
108-118,0,0,0,2.89,7.35,0,2479.72,8,3.43,0,9.05,0.61,0,0,10.32,1.18,0,0,8.34,1.43,54.86,0,3.99,13.42,92.31,0,0,2.82,0,0,4.98,4.04,0,0,0,672.44,2.36,0
120,0,0,0,13.58,0,0,1736.61,2.57,0,0,9.96,5.64,10.41,14.48,8.19,0,0,2.98,0,0,50.73,0,10.49,6.63,140.76,0,0,2.81,0,1.12,0,11.02,0,0,2.68,938.03,10.31,0
