stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,neural,notochord,otic,pericytes,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.73,0,0,0,13.12,0,3.79,0,0,0,0,0,0,7.27,3.34,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.63,0,0,0,0,0,0,0,1.87,18.89,0,0,0,0,2.38,0.64,0
 36-46,0,5.82,0,0,1.06,0,0,0,0,5.48,0,0,0,19.25,0,2.78,0,0,0,0.82,0
 48-58,0,0,0,0,1.34,0,0,0,0,0,0,0,0.81,12.32,0,0,0,0,8.24,0,0
 60-70,0,0,0,0,17.33,0,0,1.29,0,0,5.83,0,5.47,12.27,0,0,0,0,0,0,0
 72-82,0,0,13.93,0,4.43,3.82,0,0,0,0,0.83,0,2.11,16.12,0,0,0,0,0,1.4,0
 84-94,0,0.64,6.82,0,12.85,0,0,0,0,0,0,0,7.01,0,0,0,0,1.58,0,0.6,0
 96-106,0,0,33.11,0,17.85,2.08,0,0,0,0,2.06,9.08,1.92,16.81,0,0,0,2.49,0,0.56,0
108-118,0,1.62,12.14,1.78,21.1,0.81,0,0,0.75,0,13.36,0,1.28,6.05,0,0,0,0,0,0,0.99
120,0,3.24,19.05,0,7.41,0,0,0,0,0,17.67,5.46,0,13.84,0,0,18.35,0,0,0,0
