stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,12.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,9.82,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,73.81,0,0,0,11.65,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.56,2.77,0,2.74,0,0,0,3.74,1.19,0,0,0,0.86,0,0,0,1.89,0,0,2.93,59.46,0,1.07,11.48,0,0,0,2.22,0,0,19.54,16.12,0,0,0
 24-34,0,0,1.67,0,0,9.54,4.07,0,0,0,0,0,4.55,0,0,0,0.67,0,21.36,0,1.21,29.1,71.52,0,3.25,39.49,0,0,0,0,0,4.45,26.95,30.38,0,0,0
 36-46,0,0,0,3.59,0,7.88,4.99,0.56,1.09,0,0,0,2.71,0,0.83,0.57,0,0,35.91,0,0.57,14.17,31.85,0,3.85,25.72,0,0,0,0,0.72,3.2,6.19,15.48,0,0,0.73
 48-58,0,0,0,0,0,10.39,10.03,1.55,0.49,0.56,0,0,3.04,0,0.61,3.14,0,0,51.52,0,0.5,19.22,32.11,0,0,38.79,0,0,0,0,0,1.82,0,7.01,0,0,0
 60-70,0,0,0,0,0,15.42,113.3,1.03,0,0,0,0,0.79,0,0,3.43,13.61,0,78.23,0,1.04,44.83,31.74,0,0,36.54,0,0,0.65,0,0,0.73,0,2.26,0,1.59,0
 72-82,0,0,0,0,0,16.29,103.81,0.55,1.56,5.65,0,0,1.61,0,0.68,3.92,17.34,0,96.8,0,0,30.86,22.99,0,0,63.03,0,0,0,0,0,0,0,0,0,0,0.5
 84-94,0,2.22,1.01,3.12,0.86,24.33,192.72,0,0,6.07,0,0,1.64,0,0.56,2.68,36.94,0,128.22,0,0,29.56,13.04,0,0,108.27,0,0.79,0.59,0,0,3.17,0,0.85,0,0,0
 96-106,0,0,2.92,0,4.15,8.49,160.75,1.53,0.64,1.23,0.62,0,0.89,0.95,0,17.77,49.86,0,126.87,0.68,0,13.48,30.24,0.62,0,140.22,0,0,0,0,0,0.64,0,0,2.22,1.03,1.82
108-118,0,0.98,2.57,0,0,8.75,147.18,0,1.93,4.06,0,0,0,3.19,1.36,5.73,149.91,2.82,119.31,0,4.24,52.54,48.3,0,0,112.49,0,0,0,0,0.81,3.69,0,2.61,0,0,1.33
120,0,0,0,0,0,6.3,173.85,0,3.22,0,1.3,0,0,1.85,0,1.54,39.12,0,73.29,1.56,12.95,22.98,27.76,0,0,123.54,0,0,1.21,0,0,0,0,7.32,0,0,0
