stage,blastomeres,endoderm,erythrocytes,eye,fin.mesenchyme,glial,immune,mesenchyme,muscle,neural,vasculature
  3-4,18.2,0,0,0,0,0,0,0,0,0,0
  5-6,13.82,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,22.24,0
 14-21,0,0,0.92,0,0,0,0,0,0,0,1.25
 24-34,0,0,1.71,0,0,0,0,0,0,1.23,3.48
 36-46,0,0,0,0,0,0,0,1.04,0,0,0
 48-58,0,0,0,0,1.52,0,0,0,0,0,0
 60-70,0,0,0,0,0.74,0,2.22,0,0,2.13,0
 72-82,0,0,0,0.53,0,0,3.55,0,6.92,0,0
 84-94,0,4.12,0,0,0,0,2.09,0,0,0,0
 96-106,0,0,0,0,0,0,10.48,0,0,0,0
108-118,0,0,0,4.19,0,0.54,12.91,0,0,3.17,0
120,0,0,0,0,0,0,16.03,0,14.36,0,0
