stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,54.57,3154.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.2,0,0,0,0,0,0,0,0,0,0
  5-6,52.72,701.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.77,0,0,0,0,0,25.24,0,0,0,0,0,0,0,0,0,0
  7-9,40.01,41.13,0,12.62,0,0,0,132.02,0,0,0,0,0,26.81,0,0,0,0,0,0,0,0,0,0,755.48,58.88,0,0,154.48,0,4.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.79,0,95.16,0,0,0,194.83,0,0,0,0,0,12.27,0,0,0,0,0,0,0,0,0,0,1754.04,70.75,0,0,335.69,0,0,3.57,43.02,0,9.11,0,0,0,0,0,0
 14-21,0,0,0,13.18,69.6,13.62,0,18.59,0,0,0,16.44,11.11,0,2.89,0,1.62,0,1.14,0,0.88,25.8,0,17.3,267.1,12.16,1.19,13.45,3.86,0,0,31.08,13.18,1.39,20.06,69.36,0,0,31.53,0,0
 24-34,0,0,0,10.52,17.27,5.2,0,54.98,0,2.06,0,7.84,7.98,0,14.12,0,3.25,0,0.6,3.69,0,53.16,0,23.88,287.31,4.94,1.55,3.51,0,0,5.36,0.95,2.34,1.45,0,55.09,0,0,244.53,0,0.72
 36-46,0,0,0,3.64,14.58,0,0,84.3,0,2.25,4.69,17.72,6.01,0,7.95,0,0.67,14.98,0,5.06,0,75.55,1.2,8.66,245.55,4.79,0,3.66,0,1.55,0,3.64,1.91,0,0,47.9,0,0,139.3,0,13.89
 48-58,0,0,0,0,1.89,0,0,77.29,0,0.81,1.1,14.43,26.17,0,8.73,0,0,1.31,0.74,11.42,0,82.72,5.31,13.52,163.83,10.54,0,2.1,0,0,10.05,0,1.07,0,0,27.21,0,0,155.62,0.5,24
 60-70,0,0,9.36,0,1.01,0,0,85.28,0,6.46,0.84,46.56,44.89,0,7.96,4.13,0,4.51,0,7.79,0,68.63,0.69,22.22,83.5,8.53,2.14,6.62,0,0,2.32,0,2.35,0,0,20.22,0,1.5,129.1,1.81,48.08
 72-82,0,0,0.5,0.56,9.28,0,0,62.97,0,0,9.93,43.2,39.78,0,22.01,0.94,0,3.51,0,0,0,104.14,4.16,14.25,127.94,1.66,3.54,5.84,0,0,8.25,0,0,0,0,23.77,0.62,2.28,191.62,3.93,38.81
 84-94,0,0,0,0,5.91,0.64,0,73.41,0.67,0,6.13,56.46,74.85,0,18.17,0,0,0,0.78,1.44,0,67.7,12.71,6.28,91.16,7.06,1,8.41,0,0.6,5.26,0,2.45,0,0,10.9,0,7.31,116.18,0,21.74
 96-106,0,0,2.96,0,13.21,9.41,0,64.15,0,2.91,0,28.56,68.78,0,16.95,1.21,0.94,5.22,0.82,5.84,1.03,67.29,1.41,13.22,79.92,3.28,5.82,13.32,0,0,6.9,0,0,0,0,2.37,0,2.6,203.07,3.08,82.35
108-118,0,0,4.7,0,15.76,5.15,0.66,51.31,0,6.76,2.97,30.43,80.31,0,8.03,0,3.14,11.03,0,1.85,1.09,94.4,0.83,6.91,83.36,6.72,0,29.64,0,0.92,0.94,0,0.42,0,0,8.03,0.54,5.01,215.12,2.77,33.4
120,1.12,0,0,3.17,14.74,1.94,0,38.17,0,8.96,0,78.83,98.04,0,20.69,5.31,3.6,5.15,0,8.3,0,116.26,5.52,10.78,118.42,1.93,0,15.76,0,0,8.98,0,0,0,0,0,12.35,5.78,272.73,3.82,15.29
