stage,epidermis,gut,mesenchyme,mural.cell,taste,xanthophores
 48-58,0,0,1.08,0,0,0
 72-82,1.76,0,0,0,0,0
 96-106,1.67,0,0,0,0,1.24
108-118,3.75,1.16,0,1.23,0,5.54
120,0,0,0,0,6.72,1.1
