stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,glial,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,25.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.83,0,1.09,18,0,0,0.99,0,0.93,0,0,1.06,1.76,0
 24-34,0,0.97,0.77,0.7,0,0,0,0,0.95,0,0,118.5,0,17.46,0,0,0,0,0.6,1.53,25.13,0
 36-46,0,0,0,14.7,0,0,0,0,0,0,0.68,127.01,0,21.63,0,0,0,0.82,0,0,23.19,0
 48-58,0,0,0,12.01,0,0,0,0,0,0,0.57,148.55,0,22.21,0,0,0,0,0,0,4.68,0
 60-70,0,0,0,87.03,0,0,0,0,2.25,0,0,303.32,0,28.4,0,0,0,0,0,0,9.33,0
 72-82,0,0,0,223.98,0,3.45,0,0,0.94,0,0,309.47,0,29.62,0.69,0,0,0,0,0,3.57,0
 84-94,0,0,0.74,172.05,0,2.09,0,0.83,5.3,0,0,225.97,0,26.24,3.86,0,0,0,0,0,0,0
 96-106,0,0,0.6,407.58,0,11.89,0,0.7,9.66,3.31,0,247.66,0,54.31,5.04,0,0,0,0,0,7.22,0
108-118,0,0,4.45,401.68,0.44,12.54,0,0,6.68,0,0,313.28,1.38,26.18,1.46,7.21,0,0,0,0,2.48,0.84
120,0,0,0,264.06,0,0,2.51,0,0,0,0,439.24,0,35.7,0,0,0,0,0,0,0,0
