stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,163.37,3440.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.44,0,0,0,0,0,0,0,0,0,0
  5-6,61.19,1562.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.76,0,0,0,13.26,0,6.16,0,0,0,0,0,0,0,0,0,0
  7-9,15.34,52.93,0,21.07,0,0,245.98,0,0,0,0,0,62.42,0,0,0,0,0,0,0,0,0,0,0,1104.11,41.56,0,0,422.68,0,0,17.32,0,0,0,0,0,0,0,0,0
 10-12,0,65.33,0,118.17,0,99.79,111.08,0,0,0,0,0,10.27,0,0,0,0,0,0,0,0,0,0,0,1388.11,100.72,0,0,390.46,0,0,19.5,3.96,47.93,8.61,0,0,0,0,0,0
 14-21,0,0,0,1.95,122.17,72.88,42.57,0,0,0,13.55,4.4,0,9.55,0,4.94,0.87,0.84,0,0.89,120.39,0,0,89.33,464.83,4.9,5.25,6.41,19.9,0,0,0,46.04,15.58,62.57,139.3,0,0,9.01,0,0
 24-34,0,0.83,0,2.06,14.69,4.13,47.38,0,0.73,1.3,16.5,0,0,13.36,1.17,11.93,1.61,1.27,0.96,5.79,79.73,0,0,47.95,995.93,0,33.15,6.22,0,0.99,0,0,2.32,30.67,12.49,232.58,0,0,60.44,0,6.2
 36-46,0,0,0,0.84,5.92,4.03,224.67,0,4.04,0.57,53.69,0.66,0,7.84,0,1.93,21.6,1.23,3.25,26.56,92.59,6.57,5.39,23.42,1308.7,0,57.2,4.14,0,0.97,3.62,0,0,25.94,0,348.79,0,0,10.42,0,11.59
 48-58,0,0,0,0,20.5,0,357.51,0.6,5.63,3.55,93.09,0.54,0,1.7,8.48,14.27,33.74,3.05,0,16.19,125.3,4.76,4.42,17.11,1155.28,0.63,49.02,2.75,0,0.56,1.67,0,0,10.68,0,329.17,0,0,13.72,0,17.72
 60-70,0,0,0.7,0,19.11,0,355.17,0,10.78,6.05,61.09,3.92,0,7.99,10.38,4.77,37.46,0.67,0,9.34,102.22,4.89,2.25,19.28,579.22,0,42.93,10.3,0,2.18,1.4,0,0,13.59,0,130.49,3.02,0,27.79,0,0.97
 72-82,0,0,2.27,0,20.54,1.75,255.35,0,7.86,4.92,48.66,10.24,0,1.64,2.51,6,37.56,6,0,3.05,125.31,12.98,1.95,13.31,443.87,0,88.66,3.24,0,1.12,3.33,0,0,18.83,0,48.63,9.86,2.31,27.52,2.21,3.6
 84-94,0,0,0,0,30.99,1.98,151.29,0.7,18.84,3.13,53.62,24.06,0,7.1,8.87,7.12,35.82,14.36,0,7.64,75.15,8.88,6.24,17.31,342.44,0,41.08,13.16,0,2.02,6.2,0,0,27.13,0,31.13,27.93,3.85,26.32,1.35,0
 96-106,0,0,9.13,0,71.34,1.86,127.65,0,14.38,4.37,42.35,29.81,0,9.76,11.35,14.16,85.46,16.62,4.98,6.32,82.73,20.06,3.14,14.22,197.3,0,112.4,3.45,0,2.07,6.9,5.88,0,35.59,0,23.23,49.34,1.31,37.13,5.64,9.4
108-118,0,0,5.33,0.49,92.85,6.35,124.07,3.3,37.87,1.06,32.57,35.11,0,4.28,13.39,8.6,110.25,10.8,3.36,10.75,95.76,10.55,0.71,5.74,302.52,0,71.3,7.12,0,0,14.16,0,0,21.71,0,5.19,49.15,4.77,42.14,0.57,3.29
120,0,0,6.25,0,85.07,1.16,90.17,0,23.1,8.13,68.77,20.45,0,3.06,16.08,10.32,61.05,11,0,1.6,77.23,16.75,17.5,20.99,315.13,1.12,151.89,5.88,0,2.67,6.96,0,0,11.59,0,0,34.86,0,60.3,0,0
