stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.56,133.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.88,85.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,24.34,0,0,0,14.84,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,11.6,0,0,0,0,0,0,0,0,2.27,0,0,0,0,0,8.13,0,3.27,12.74,1.64,0,0,0,4.63,0,6.5,16.38,12.61,0,1.07,0,0
 24-34,0,0,0.86,9.48,0,0.6,1.47,1.55,0.79,1.63,0,0,1.94,0,1.25,0,0.65,0,32.3,0,19.31,20.92,2.52,0,2.63,0,4.37,0.75,3.44,10.19,6.52,0,8.79,0,0
 36-46,0,0,0,39.2,2.92,4.6,25.75,0,3.95,5.78,0,0,3.07,0,4.16,0,0.68,0,35.29,0.86,6.8,16.87,3.27,0,1.4,0,37.85,0,23.12,0,12.37,0,6.18,0,0
 48-58,0,0,0,1.44,0,11.39,7.63,1.04,3.08,5.56,0,0,1.88,0,0,0,0,0,30.62,1.75,3.69,23.68,7.25,0,0,0,0.8,0,1.71,0,5.4,0.84,1.82,0,0
 60-70,0,0,0,3.46,0,4.8,9.64,0,0,11.08,0,0,0,0,0.71,0,0.73,0,46.5,6.26,4.43,10.98,1.93,0.71,0.91,0,1.54,0,0,0,2.73,3.26,7.17,2.75,0
 72-82,0,0,0,6.2,3.97,10.87,0,0,0.91,6.04,0,0,0.58,0,0,0,0,0,66.47,1.82,4.88,10.68,0,0,0.87,0,1.28,0,0.53,0,0.96,1.81,3.95,8.74,0
 84-94,0,0,0,13.85,0,10.15,1.74,0.63,0.89,8.7,0,0,6.82,0.65,0,0,0,0,41.22,1.31,9.04,3.39,0.73,1.05,1.48,0,1.26,2.39,0,0,4.33,1.13,2.01,6.25,2.83
 96-106,0,0,0,2.78,0,8.08,0,0,0,11.74,0,0,0,0,0.99,0.57,0,0,42.8,0,0,4.31,0,0.81,0.68,0,8.97,0,0,0,0,6.94,1.06,4.18,0
108-118,0,0,0,2.92,0,1.37,0,0,1.67,1.91,0.44,0,0,0.71,0,0,2.32,6.77,37.9,0,5.49,6.33,3.05,0,0,0,0.47,0,0.55,0,0,1.11,1.34,7.15,0
120,0,0,0,5.5,3.81,0,1.18,0,0,2.35,10.73,0,0,3.09,0,0,0,0,19.01,0,4.38,9.5,0,0,0,0,0,0,0,0,0,2.2,0,1.45,0
