stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,236.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.19,298.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.06,13.26,9.44,0,0,27.04,0,0,3.45,0,0,225.51,19.7,0,43.56,0,0,0,0,0,0,0
 10-12,0,4.6,39.01,0,0,20.67,0,0,3.83,0,0,269.03,0,0,103.19,0,0,4.76,5.33,0,0,0
 14-21,0,0,1.83,5.31,0.96,1.39,0,0,0,0.94,1.02,9.91,0,0,0,0,0,7.81,0,4.44,4.28,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.71,4.9,0,0,0,0,0,0,0,0.64,1.74,0
 36-46,0,0,0,0.72,0,0.66,0,0,0,0,0,6.15,0,1.25,0,0,0,0,0,0,4.6,0
 48-58,0,0,0,0,0,0.41,0,0,0,1.13,0,2.33,0,1.07,0,0.95,0,0,0,0,2.47,0.43
 60-70,0,0,0,1.82,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,1.55,0,3.41,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0
108-118,0,0,0,0.55,0,0,0.98,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0
