stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,104.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,128.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.96,4.62,0,4.13,0,0,18.36,0,0,0,0,0,0,0,0,0,0,0,0,0,87.68,0,0,0,21.77,0,0,0,0,0,0,0,0
 10-12,0,5.04,0,0,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,64.08,0,0,0,60.51,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.1,38.34,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,9.66,3.58,0,0,0,1.97,5.27,0,1.01,3.08,2.42,0,0
 24-34,0,0,0,0.6,0.93,116.85,2.43,0.85,0,0,0,2.76,0,1.61,0,0,6.77,0,0,0,44.18,6.12,6.11,0.65,0,0.74,0,4.2,5.11,1.42,13.6,14.47,0
 36-46,0,0,0,0,1.24,27.59,3.82,0,0,5.13,0,1.93,0,6.5,0,0,0,3.29,0,0,37.16,3.51,1.52,0,0,0,0,0.63,0.7,10.34,6.39,1.59,0
 48-58,0,0,0,0,4.11,33.88,17.84,5.54,0,5.13,0,0,0,0.79,0,0,0,5.42,0.43,0,50.85,2.05,1.06,0.82,0,1.04,0,1.19,0.4,0,7.29,3.87,1.44
 60-70,0,0,0,0,0,26.41,28.49,0,0,0.65,0,0.75,1.26,0.71,0,0,0,9.84,0,0.92,58.2,0,2.77,0,0,5.45,0,3.15,0,0,9.41,1.05,5.86
 72-82,0,0,0,0,0.66,216.93,24.26,0,3.99,2.95,0,0,0,0,0,4.97,0,12.63,0,0,45.47,0,0,0.99,0,0.72,0,6.87,1.5,0,1.21,0.56,0
 84-94,0,0,0,0,0.56,193.88,14.43,0,0,2,1.97,1.31,0,1.76,0,0,2.58,1.02,0,0,7.85,0,0,1.91,0,2.11,0,19.78,0,0,0,0,0
 96-106,0,0,1.79,0,0.7,213,7.3,0.6,0,3.72,1.02,0,1.63,0,0,0,0,8.43,0,0,5.7,0,0,0,0,1.79,0,8.31,0,0,0,0,0
108-118,0,0,0.54,0,0,103.19,3.93,0,0,3.27,2.85,0,0,2.23,2.43,0,0,0,0.5,0.59,23.68,0,0,0,0,0.56,0,17.96,0,0,0,2.07,0
120,0,0,0,0,0,126.08,27.92,0,0,0,3.66,0,4.96,0,0,0,0,0,2.35,0,44.64,4.62,3.57,0,0,2.46,0,15.66,0,0,0,0,0
