stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.48,1757.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.02,0,0,0,0,0,0,0,0,0
  5-6,24.88,240.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.63,17.01,0,0,0,0,0,86.27,0,0,0,0,0,23.89,0,0,0,0,0,0,0,0,0,0,0,153.69,6.25,0,0,17.22,3.78,28.3,0,0,0,0,0,0,0,0
 10-12,0,15.29,0,13.95,0,0,0,39.34,0,0,0,0,0,75.44,0,0,0,0,0,0,0,0,0,0,0,311.92,10.42,0,0,58.26,0,0,8.61,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.25,4.8,0,12.59,0,0,0,1.63,0,4.87,0,0,1.73,0,0,0,0,0.82,0,0,0,96.14,0,1.94,1.86,0,3.89,0.9,1.36,2.27,34.52,0,0,0,0,0
 24-34,0,0,0.8,0,3.34,0,0,15.37,0,0,0,0.6,0,0,0,0,1.3,0,0.97,0,0,0,7.28,0,0.85,243.16,0,9.25,0.64,0,23.76,0,0,0,59.4,0,0,2.09,0,0
 36-46,0,0,0,0.59,0,0.79,0,32.19,0,0,0,3.4,0,0,0,0,3.74,0,0,0,0,0.63,0.68,0,1.18,307.59,0.84,14.12,1.82,0,13.25,0,0,0,70.63,0,0,0,0,0
 48-58,0,0,0,0.43,1.37,0,0,120.68,0,0,0,28.5,0,0,0,0,0,1.96,0,0,0,3.84,1.52,0,0.88,398.89,0,12.56,1.61,0,5.7,0,0,0,74.76,0,0,0,0,2.71
 60-70,0,0,0,0,0,1.07,0,239.43,0,0,0.84,18,2.45,0,0,1.34,0,0,0,0,0.59,4.19,5.63,0,0,379.08,0,8.72,4.7,0,15.25,0,0,0,39.09,0,0,2.03,0,0
 72-82,0,0,0.79,0,5.69,15.06,0,342.04,0,1.17,0,29.38,9.55,0,0,1.22,2.38,0,0.63,0,1.69,13.45,5.51,0,0,404.04,0,11.74,6.62,0,4.95,0,0,0,41.54,0,0.85,8.87,0,7.5
 84-94,0,0,1.16,0,0.78,19.06,0,194.67,0,0,0,17.26,5.2,0,0.7,0.59,1.87,4.06,0,2.58,0,10,4.3,2.23,0,252.89,0,1.41,18.27,0,41.03,0,0.91,0,20.06,3.37,0,3.67,0,0
 96-106,0,0,4.73,0,4.63,18.64,1.06,191.77,0,0,0,17.53,11.16,0,0,14.52,3.99,0,0,0,0,19.94,4.83,0,0,248.27,0,6.88,6.04,0,27.35,0,0,0,18.22,0,0,1.38,0,0
108-118,0,0,1.97,0,4.89,6.67,0,158.65,7.6,0.49,0,36.66,15.36,0,0,10.43,8.38,0.84,0.91,0.7,0,19.94,2.46,5.43,0,266.06,0,7.06,17.01,0,19.03,0,0,0,8.04,2.92,0,1.74,1.13,6.52
120,0,0,3.73,0,0,6.76,1.58,127.38,0,0,1.56,49.79,2.56,0,0,26,3.26,0,0,1.2,0,15.47,1.05,0,0,410.23,0,8.49,20.39,0,6.17,0,0,0,51.47,2.21,0,1.69,0,0
