stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.01,3.1,0,1.12,0,0,0,0,5.07,0,0,0,0,0,0.99,0,0,0,16.26,0,0,0,3.7,0,1.04,2.02,0,0,0,0
 24-34,0,4.02,0,0,0.6,0,0,0,0,1.04,0,0,0,0,1.08,0,0,0,25.93,0,0,0.67,12.7,0,0,4.22,0,1.43,0,1.04
 36-46,0,0.63,1.26,0.85,0,0.82,0,0,0,0,0,0,0,0,1.23,0,0,0.6,8.63,0,0,0,4.56,0.75,0,6.09,0,0,0,0
 48-58,0,0,0,5.89,1.23,0,3.53,0,0,0,0,0,0.51,0,3.93,1.16,0.39,0.41,6.96,2.88,0,0,2.76,0.62,0,3.68,0.42,0.57,0,0
 60-70,0,0,0,22.46,0.68,0,4.84,0,0,0,0,0,0,1.56,4.94,1.72,0,0.75,3.56,0,0,0,6.04,0,0,0,0,0,0,0
 72-82,0,5.43,0,17.45,0,0,0.78,1.18,0,0,0,0,0,0,9.8,1.38,0,0,1.52,0,0,0,0,0,0,0,0,0.87,0.86,0
 84-94,0,1.14,2.62,3.34,0.91,0,0.82,0.83,0,0,1.77,0.55,0,0,8.19,1.01,1.06,0,2.2,0,0,0,0,0,0,0,0,1.2,0,0
 96-106,0,0.78,6.69,25.58,0,0,4.85,0.69,1.06,0,2.02,0,0,0,1.64,2.5,0,0,7.97,0,1.85,0,2.16,0,0,0,0,0,0,0
108-118,0,0.42,7.16,40.41,0,0,3.98,2.17,0,0,0,0,0,0,9.09,9.03,0,0,5.74,0,0,0,4.76,0,0,0,0,7.22,0,0
120,0,2.12,1.64,0,0,0,8.36,6.8,0,3.84,0,0,5.54,0,17.35,2.21,0,1.54,1.96,0,0,0,0,0,0,0,0,0,3.35,0
