stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,4.56,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58,0,0,0,0,0,0,0,0
 14-21,0,0.97,0,1.19,0,0,0,0.99,0,0,0,0,2,0,3.12,22.6,0,1.05,1.03,2.16,3,10.03,0,0
 24-34,0,0,0,1.71,0,0,2.23,0,1.13,0,0,0.62,2.33,0,2.09,51.63,0.6,0,0,5.43,0.75,12.46,0,1.4
 36-46,0,1.89,0,2.8,0,0,2.3,0,0,0,0,0,7.48,0,1.7,45.65,0,0,0,0,0,9.9,0,0
 48-58,0,1.3,1.28,28.42,0,0,4.1,0,0,0,0,0,5.04,0,0,56.09,0,0.41,0,0.95,0,10.12,0,0
 60-70,0,8.36,0,47.88,0.68,0,6.19,0,0,0,2.05,1.24,5.06,0,0,59.07,0,0,0,0,0,5.89,0,0
 72-82,0,0,18.54,25.08,0,0.68,4.61,0,0,0,0,0,11.4,0,1.82,50.45,0,0.5,0,0,0,3.24,0,0
 84-94,1.01,0,1.24,11.43,0,0,8.93,0,0,0.91,0,0,0,0.58,0,44.1,0,1.32,0,0,0,0,0,0
 96-106,0,0,19.79,18.59,0,0,7.13,0,0,0,0,0,1.75,0,1.2,26.8,0,0,0,3.39,0,0,0,0
108-118,0,0.57,1.71,21.21,0.46,0,4.69,0.52,0,0.84,0,0,2.89,0,0.56,16.75,0,0,0,0,0,0,0,0
120,0,0,15.83,6.92,0,0,16.35,0,0,0,0,0,1.89,0,0,18.17,0,0,0,0,0,0,1.95,0
