stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,44.02,0,0,0,0,0,0,0,0,0,0,22.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,7.09,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,0,0,112.63,0,0,2.03,0,0,0,0,0
 36-46,0,0,0,0,0,3.29,0,0,0,1.09,0,0,0,0,15.13,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,48.7,0,0,0.62,0,0,0,0,0
 48-58,0,0,0.48,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,10.75,0,0,0,0,0,78.65,0,0,0,0,0,0.65,0,0
 60-70,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44,0,0,0,1.65,0,0,0,0,0,454.61,0,0,0.67,0,0,0,0,0
 72-82,0,0,4.17,2.05,2.97,54.05,0,23.63,2.28,13.8,0,0,0,0,8.53,0,0,0,0.87,25.01,14.96,0,2.73,148.77,0,0,0,0,1.77,2300.05,0,0,15.45,2.31,0,6.04,0.93,4.49
 84-94,0,0.98,6.19,2.14,0,28.19,0,50.54,0.91,0,1.28,0,0,1.18,58.75,0,0,0,0,15.7,39.25,0,1,42.61,0,0,4.9,0,0,5058.78,0,0,0,0,0,0,0,0.64
 96-106,0,2.74,72.78,7.23,1.05,276.37,0.93,119.09,7.06,28.07,8.03,0,3.14,8.41,164.18,3.08,3.32,30.83,2.25,56.66,136.49,0.58,12.14,425.7,0,4.51,1.24,0,2.4,15126.1,1.61,18.55,16.28,17.81,2.43,13.68,2.53,0.66
108-118,0,0,66.13,11.48,0.44,46.04,0,130.17,0.92,20.29,6.45,0,1.65,6.03,123.68,2.54,0,1.89,0,26.66,101.39,0.69,1.71,149.19,0.58,0,1.01,0,0,8610.05,0,0,3.83,1.71,0,5.24,0.7,14.71
120,0,0,46.16,6.33,0,41.13,0,50.33,0,5.62,0,0,0,0,98.58,0,0,4.99,0,30.8,43.41,0,0,100.26,12.17,0,0,0,0,3932.67,0,0,0,0,0,0,0,12.81
