stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,0,0,0,0,0,0,0
  5-6,8.27,19.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.27,0,0,0,0,0,0,0
  7-9,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,10.76,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,4.68,0,2.25,0,0,0,0,0
 24-34,0,0,0,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,225.36,1.45,1.03,0,0,5.31,0,41.53,0,0,1.15,0,0
 36-46,0,0,0,0,0,0,9.98,0,0,0,9.37,0,0,0,0,0,0,0,10.03,0,0,0,701.05,0,0,0,0,8.82,0,106.6,0,0,0,0,0
 48-58,0,0,0,4.95,0,0,212,0,0,0,15.9,0,0,0,0,0,0,0,18.41,2.73,0.42,13.47,1546.65,0,0,1.78,0,1.5,0,162.62,0,0,0,0,7.45
 60-70,0,0,0,1.73,0,0,1127.5,0.69,3.81,0.96,17.96,0,0.7,0,0,0,5.17,0.72,24.65,11.08,0,0.58,2361.13,1,0,0,0,9.96,0,211.26,0,0,0,0,9.83
 72-82,0,0,0,12.65,2.7,0,2273.78,0,0.5,2.29,29.62,1.72,0,0.54,0,0,0,0.49,21.27,0,0,1.77,3389.76,0,0.84,2.1,0,1.65,0,169.75,0,0.66,12.97,2.54,4.92
 84-94,0,0,0,16.73,8.86,0,1445.34,0,1.69,0.67,65.15,9.43,0,0,0.63,1.38,0,0.98,26.81,0,0.86,4.77,2224.25,0,1.06,2.07,0,21.87,0,177.01,0,4.03,2.6,0.57,0
 96-106,0,0,0.91,18.11,11.41,0,1685.22,1.64,0.84,0,49.81,0.56,0.71,0,1.03,0,10.79,4.07,15.88,0,0,5.86,2344.04,0,0,0.59,0,9.18,8.64,85.4,2.19,1.65,1.31,1.02,0
108-118,0,0,0,17.64,8.04,0,1406.59,1.3,1.08,1.27,43.13,5.44,0,1.64,0,0,5.18,0,38.43,0,0,4,2360.28,0,2.16,1.06,0.92,1.51,2.32,45.06,0,1,3.47,1.11,1.55
120,0,0,0,64.15,2.89,3.6,1655.53,6.51,2.25,0,98.28,0,5.74,1.65,0,0,0,1.64,63.38,0,0,1.64,4986.55,0,0,2.92,0,0,0,127.75,6.52,0,0,0,0
