stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.84,0,5.41,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,25.26,0,0,0,89.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,37.76,0,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.04,23.48,0,0,170.06,0,0,0,19.23,0,0,0,0,0,0,0,0
 14-21,0,1.11,13.76,182.09,79.83,0,10.58,0,0.82,0,4.82,16.37,1.35,12.19,0,0,0,0,3.1,0,90.33,0,0,43.88,72.89,27.46,0,0,18.39,0,29.7,26.24,10.25,28.28,29.56,50.93,0,0,36.08,0,0
 24-34,0,0.67,5.95,26.58,13.27,0,5.55,0,2.95,0.74,16.49,0.59,0,5.88,0,0,0,0,3.69,0.95,72.9,0,0,19.8,60.71,6.86,2.8,1.41,0,0,77.37,0,2.4,1.47,6.76,35.88,0,0,131.29,0,6.66
 36-46,0,0.95,0,24.44,24.14,0,18.47,0,3.39,2.62,26.75,3.74,0,13.08,2.32,0,0,0,3.41,0,121.71,3.82,0.74,17.37,87.3,10.17,9.73,7.87,0,0,73.06,0,2.9,0,0,46.02,0,0.85,107.59,0,11.47
 48-58,0,0,0,28.69,17.87,0,29.38,1.44,7.44,3.39,44.48,3.18,0,10.07,0,0,0,0.49,5.72,1.73,76.49,0,0.58,3.79,40.11,3.08,5.15,0.59,0,0,51.78,0,0,0.46,0,80.37,0,0,54.27,0,9.15
 60-70,0,0.89,0,24.19,10.41,0,107.01,1.66,23.86,10.73,113.93,5.12,0,2.44,3.94,0.71,1.09,0,4.68,7.36,96.77,0,2.78,14.17,78.27,23.95,6.68,1.85,0,2.1,34,0,1.79,0,0,47.24,0,2.4,63.75,0.64,4.4
 72-82,0,0,0,19.7,61.39,0,143.68,6.05,4.75,11.31,188.63,8,0,6.43,1.33,0,4.07,0,1.38,0,121.17,0.73,5.18,9.37,70.91,3.84,7.96,0,0,1.53,18.88,0,0.53,0,0,21.47,0,0.87,85.54,0.86,18.44
 84-94,0,1.29,0,48.55,65.08,0.74,140.76,0,12.89,2.87,135.04,12.35,0,1.94,4.81,1.35,2.82,0,6.03,5.33,93.29,3.11,3.43,11.08,43.78,7.63,1.84,0,0,6.34,69.45,0,2.44,0,0,31.32,1.17,2.15,92.43,0,0.86
 96-106,0,1.5,0,37.19,67.34,0,149.04,0.76,13.88,0,179.38,7.58,0,3.12,14.19,1.97,4.84,0,14.72,0,130.5,1.75,4.16,10.95,84.01,9.65,13.77,2.36,0,3.88,103.31,0,1.39,0,0,26.94,0,2.72,114.18,3.27,2.21
108-118,0,0.84,0,61.54,31.64,62.18,156.28,0.9,23.73,5.4,222.41,16.75,0,12.19,27.77,10.68,6.97,0,18.3,5.3,182.43,0.46,8.95,15.32,111.78,11.16,3.79,0,0,17.29,140.33,0,2.2,0,0,18.99,0,4.5,115.36,1.29,20.86
120,0,3.82,1.66,61.01,6.85,13.26,111.08,5.12,11.41,0,202.34,19.59,5.2,3.06,43.81,1.01,0,0,24.67,0,144.74,2.27,14.35,4.76,128.08,19.2,6.18,0,0,9.14,58.49,0,9.32,0,0,20,0,3.67,90.57,20.71,1.64
