stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,62.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.92,42.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,13.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.16,0,0,0,14.81,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0,19.97,0,8.56,0,0,0,0,0,0,0
 14-21,0,0,0,2.4,11.65,0,5.27,0,0,0,0,0,0,7.02,0,0,0,0,0,18.49,0,0,0,15.78,0,0,0,0,0,0,0.81,2.26,0,0,0,0,0
 24-34,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,1.91,0,0,0.85,22.77,0,0,2.33,0,20.04,0.7,0.59,3.62,0,0,0,0,0
 36-46,0,0,0,0,0.63,0,3.44,0,0,0,2.48,0.56,0,0,8.66,0,0,0,0,3.65,0.65,0,0,26.19,0,0,0,0,102.21,0,0,3.73,0,0,4.6,0,0
 48-58,0,0,0,0,4.78,0,7.6,0,0,0,5.57,0.38,6.08,0,0,0,0,0,0,0.93,0,0.84,0,13.7,0,0,0.85,0,125.72,0.61,0,7.61,0,0,20.21,0,0
 60-70,0,0,0,0,8.52,0,11.11,0,0,0,21.49,0.58,0,0,4.39,0,0,0,2.08,14.37,0,14.84,0,17.13,2.14,0.6,1.51,0,148.6,0,0,6.58,0,2,14.55,2.43,0
 72-82,0,0,0,0,11.17,0,16.15,0,0,4.6,49.77,2.37,0,0.64,0,0,0,0,9.99,32.69,0,6.48,0,14.38,0,0,6.79,0,51.88,0.55,0,5.75,1.56,5.55,34.57,32.31,4.85
 84-94,0,0,1.16,0,23.12,0,22.68,0,1.94,0,54.51,3.51,2.24,0,0,1.28,0,0,43.02,21.06,0.91,15.77,0,19.41,1.26,2.48,9.65,0,115.27,2.6,0,0,5.39,4.28,22.5,28.93,0
 96-106,0,0,1.15,0,25.66,8.58,19.85,1.05,8.09,0,121.14,6.62,0,0,2.01,1.15,0.92,0.79,53.93,69.63,0.69,27.64,0,35.3,2.73,10.84,13.32,0,119.32,1.61,0,0,16.55,8.33,50.5,42.93,0
108-118,0,0,0,0.87,41.29,0,29.74,0.46,19.18,0.65,130.07,19.99,0,0,7.71,1.65,0,0,76.68,83.55,0,11.82,0,39.12,0.43,4.04,15.52,0,97.42,3.49,0,3.13,25.91,10.64,50.01,52.91,0
120,0,0,0,0,62.84,0,60.61,0,8.74,0,116.16,9.67,0,4.47,10.84,0,0,0,54.35,48.67,12.14,36.7,0,27.02,0,1.06,27.96,0,56.39,5.38,0,0,16.63,3.38,6.74,8.47,0
