stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,31.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.7,110.38,0,0,0,0,0,0,0,0,0,0,0,14.47,0,0,0,0,7.14,0,0,0,0,0,0
  7-9,14.46,7.12,5.41,0,0,0,0,0,0,0,0,0,316.63,118.77,0,0,291.93,0,0,0,0,0,0,0,0
 10-12,0,14.49,0,0,0,0,0,0,0,0,0,0,47.39,4.18,0,0,220.18,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.13,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,2.84,0.86,6.73,0,0,0
 24-34,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,6.3,0.63,0,1.52,7.97,0,0,0,0,1.69,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.78,0,0,0.46,0.47,4.05,0,0,0.5,0,0.39,0,0,0,0,0,0,0,0.56,0,0
 60-70,0,0,0,0,11.1,0,0,0,5.07,16.67,0,0,7.55,0,0,0,0,4.97,0,0,0,0,0,0,0.73
 72-82,0,0,0,0,1.65,3.45,0.51,0,5.44,19.43,1.46,3.31,4.06,0,1.4,0,0,9.12,0,0,0,0,0,3.84,1.24
 84-94,0,0,0,0,0,1.86,0,0,6.68,24.26,0,0,1.44,0,1.16,0,0,2.93,0,0,0,0,0,3.3,0.89
 96-106,0,0,0,0,0.9,0,0,0,8.96,29.05,2.17,0,5.87,0,1.3,3.78,0,4.31,1.53,0,0,0,0,0,0.8
108-118,0,0,0,2.28,0,0,0,0,10.43,15.04,8.09,0,3.86,0,2.93,0.64,0,5.64,0,0,0,0,0,6.93,0
120,0,0,0,0,0,0,0,0,8.41,21.69,0,4.09,0,0,0,3.46,0,0,0,0,0,0,0,0,0
