stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,43.83,141.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0
  5-6,52.11,372.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.97,0,11.58,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.55,6.09,0,0,29.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.34,0,8.56,0,0,12.28,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,82.65,0,0,0,10.97,0,0,0,10.73,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.6,3.16,7.56,0,0,0,0,0,0,0.92,0,0.89,0,0,0,2.84,0,2.82,66.33,0,0,3.23,0,0,0,1.86,0,2.08,11.57,20.83,0,1.94,0,1.06
 24-34,0,0,0.8,0,1.82,0.66,5.55,0,0,0,0.68,0.68,0,0,0,0.79,0,0,0,12,0,4.01,133.97,1.66,2.76,0.64,0,0,3.46,0,8.33,0,3.89,37.32,0,4.64,0,0
 36-46,0,0,0,0,3.36,0,22.04,0,0,1.68,4.28,0,0,0.68,0,0,0,0,0,5.22,0,0.8,165.84,0,19.04,0.91,0,0,0,0,1.03,0,0,35.46,0,3.44,0,0.66
 48-58,0,0,0,0,0.4,0,35.79,0,0,0,15.83,0,0,0,0.37,0,9.51,0,0.51,1.4,0,0.86,120.93,0,0.85,3.45,0,0,0.39,0,0,0,0,12.7,0,1.56,0,5.04
 60-70,0,0,0,0,4.04,0,105.18,0,0.89,0,2.61,0,0,0,0.58,0.59,0.63,0,0,13.65,0,0,155.45,0,0,0,0,0,3.47,0,0.62,0,0,15.79,0,1,0,0
 72-82,0,0,0,0,4.59,1.96,67.74,0.65,0,0,9.92,0,0,0,0.54,0,0.57,0,0,15.6,6.94,0.97,53.42,0,0.88,3.04,0,0,3.18,0,1.87,0,0,3.67,1.21,0.63,0,0
 84-94,0,0,1.2,0,7.37,0.84,60.81,0,0,0.67,3.23,1.68,0,0.98,1.54,0.99,0.64,0,1.93,15.17,0,0.79,56.38,0,0.77,2.91,0,0.57,1.54,0,0,0,0,0,0,2.79,0,0
 96-106,0,0,1.19,0,0,0,42.58,3.09,0,0,8.84,2.39,0,0.96,0.65,0.56,0,0,3.66,6.87,1.72,2.43,19.87,0,2.4,0,0,0,0,0,0,0,0,3.57,2.38,0.57,0,0
108-118,0,0,0,0,2.94,0,25.78,0,0.85,0,7.45,0.52,0,0,2.08,0.49,0,0,0,5.59,4.56,0,30.87,0,0.47,1.3,0,0,1.4,0,0.88,0,0,2.8,0,0.89,0.77,1.16
120,0,0,0,0,3.27,1.46,43.89,0,0,0,11.27,0,0,0,8.1,0,0,1.99,0,17.35,0,2.98,49.51,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,8.29
