stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,6.56,63.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.31,0,0
  7-9,0,0,8.93,0,0,0,0,0,5.5,0,0,0,0,0,0,67.82,0,0,4.88,7.68,0,0
 10-12,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,26.28,0,0,9.95,4.49,0,0
 14-21,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0
 24-34,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,0,25.73,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0.57,0,3.44,0,0,0,34.83,0,0
 48-58,0,0,0,3.16,1.63,0,0.37,0,0,0,0,0,0,0,0,1.04,0,0,0,25.64,0,0
 60-70,0,0,0,0.76,1.23,0,0,0,0,0,0,0,0.79,0,1.27,1.14,0,0,0,61.21,0,0
 72-82,0,0,0,2.89,2.48,0,0,0,0,0,0,0,0,0,1.57,4.74,1.8,1.16,0,38.05,0,0
 84-94,0,0,0,3,0,1.33,0,0.8,0,0,2.24,0,0,0,0,2.21,0,0.82,0,95.92,0,0
 96-106,0,0,0,9.15,0,0,1.06,0,0,0,0.78,0,0,1.84,3.61,8.12,2.6,0,0,119.67,1.93,1.67
108-118,0,0,0,2.95,5.77,1.23,0,4.56,0,1.7,3.26,3.77,0,0,0,2.46,1.04,0,0,75.31,0,0
120,0,0,0,15.62,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.34,0,0
