stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,10.66,72.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,113.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0,0,10.53,0,0,0,0,0,0,0
 10-12,0,0,0,5.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.16,0,0,0,9.39,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.9,4,2.27,0,0,0,0,0,0,0,0,0.93,0,2.36,0,0,23.72,0,0,0,0.99,0,0,1.28,13.27,0,0,0
 24-34,0,0,0.71,0,0,0,4.96,0,0,0,0,0,0,0.75,0,1.73,0.95,2.91,0,1.35,84.02,0.75,11.61,0,0,0.94,0.61,0,26.78,0,0,0
 36-46,0,0,0,0,8.03,0,9.59,0,3.61,0.56,0,0.6,0,0.58,0,0,0,2.34,0,0.61,188.3,0,0.95,0,0,0,0,0,55.65,0,0.89,0
 48-58,0,0,0,0,0,0,68.28,0,0.87,0,0.4,0,0,0,0,0,1.12,6.7,0,1.46,248.4,4.49,2.25,6.45,0,0,0,0,44.64,0,0,7.01
 60-70,0,0,0,0,0,0,562.8,0,9.4,0,0,0,0,0,0,0,0,5.48,0,2.43,506.99,0,1.82,0,0,0,0,0,51.53,0,0,0
 72-82,0,0,1.17,0,8.61,0.75,794.45,1.16,16.35,0,0.5,0,0,0,2.8,2.13,0,8.29,0,0.78,654.28,0,2.23,3.03,0,1.77,0,0,52.8,0,0,0
 84-94,0,0,3.52,0,11.08,4.4,568.4,0,22.13,3.14,0,0,0,0,0,0,2.81,4.49,1.13,1.77,413.87,0,0,2.6,0,1.15,0,0,4.98,0,2.12,0
 96-106,0,0,0.89,0,3.19,0,583.14,0,11.96,1.52,0,0,0,0,0,0.79,0,8.15,0,0,345.33,0,0,13.65,0,3.12,0,0,13.46,2.48,0,0.86
108-118,0,0,0.57,0,3.96,3.25,458.17,1.02,13.83,1.1,0,0,0,0,3,0.86,5.52,1.71,1.5,0,466.36,0,0,17.29,0,1.34,0,0,6.72,3.03,5.27,0
120,0,0,0,0,1.36,0,517.94,0,56.38,9.07,0,0,7.63,0,0,7.7,0,11.32,0,0,713.79,0,0,26.99,0,1.24,1.02,0,0,0,0,0
