stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,62.19,1433.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.44,0,0,0,0,0,0,0,0,0,0,0
  5-6,138.32,1944.59,0,10.68,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,101.79,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0
  7-9,61.19,23.74,0,57.43,0,0,0,103.8,0,0,0,0,65.43,0,0,0,0,0,0,0,0,0,0,1056.92,33.18,0,0,336.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.84,0,73.53,0,0,0,70.01,0,0,0,0,18.44,0,0,0,0,0,0,0,0,0,0,961.45,9.95,0,0,293.45,0,3.1,5.47,3.57,49.95,0,0,10.64,0,0,0,0,0
 14-21,0,0,0,1.95,38.35,16.51,0,33.77,0,0,14.73,0,0,0,0,0,0,0,0,0,23.16,0,19.86,432.95,6.42,5.39,3.92,10.01,0,0,0,32.38,4.58,0,19.37,132.47,0,0,3.84,0,0
 24-34,0,0,0.84,1.62,12.78,3.52,0,67.19,3.42,1.55,14.37,0,0,0,0.98,1.75,0,1.57,9.04,0.95,74.21,0,19.99,966.01,1.86,4.91,8.82,0,0,10.75,0,0,1.08,0.87,3.07,174.29,0,0,23.07,0,0.69
 36-46,0,0,0,0,10.49,0,0,136.38,0,0,24.67,0.61,0,0.9,2.6,0,0,0,0,15.36,56.29,2.76,10.91,559.89,2.08,2.55,35.17,0,0,11.1,0,0,3.08,0,0,108.49,0,0,7.72,0,1.19
 48-58,0,0,0,0,4.9,0.66,0,222.56,0.42,3.29,47.89,0.49,0,1.93,0.42,0,0.51,1.73,0.52,0,66.47,4.18,12.26,396.76,1.12,6.54,2.57,0,0,13.21,0,0,1.07,0,0,95.8,0,0,7.51,0,6.83
 60-70,0,0,0,0,2.46,0,0,225.45,5.36,0.83,31.31,0,0,0.9,0,0,0,0,0,0,61.52,0.93,2.86,231.81,0,1.11,3.95,0,0,14.84,0,0,0.59,0,0,28,0,0.6,2.96,0,3
 72-82,0,0,0.68,0,7.48,0.55,1.04,153.34,0.6,1.23,45.44,0,0,0,0,0.56,0.72,3.95,0,0,84.01,7.19,4.89,163.99,0.52,8.06,4.26,0,1.42,8.45,0,0,0,0,0,18.1,0.74,4.55,6.26,3,0
 84-94,0,0,0.66,0,7.68,0.95,0,144.23,0,0,16.48,2.85,0,0,0,0,0.62,0.66,2.93,0,70.97,0.93,3.89,112.72,0,3.62,0.62,0,0,19.58,0,0,0,0,0,3.49,0,1.79,6.91,0,0
 96-106,0,0,1.62,0,8.46,13.5,0,119.58,0.71,2.04,74.49,2.55,0,3.03,0,0,1.88,2.01,3.05,0,46.67,1.52,7.9,93.32,2.22,6.16,8.78,0,3.14,11.82,0,0,0,0,0,6.91,0,0.87,8.78,0.67,5.73
108-118,0,0,0,0,19.97,3.74,1.02,129.06,2.64,1.47,61.74,1.75,0,0.71,0.52,0,2.2,0,0,0.76,65.25,2.19,7.58,166.58,0.47,9.67,3.34,0,0,9.29,0,0,0,0.69,0,4.6,0.52,1.04,3.5,0,0
120,0,0,9.35,0,16.46,1.49,1.91,90.68,4.49,0,21.44,0,0,0,0,1.45,4.83,3.15,0,1.55,30.44,0,7.34,168.18,6.46,14.76,3.89,0,0,13.38,0,0,0,0,0,16.65,3.65,5.53,0,0,0
