stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,88.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,17.61,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.19,0,0,0,13.67,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4,0,0,0,0,0,1611.45,0,0,0,14.64,0,0,19.5,0,0,0,0,0,0,0
 14-21,0,0,0,4.93,1.58,0,6.91,0,0,0,2.72,0,0,0,1.28,0,0,0.89,1.37,0,0,1477.64,0,0,53.48,0,0,0.81,0,0,2.24,8.09,0,1.14,0,0
 24-34,0,0,0,7.91,5.59,0,18.58,0,0,0,8.96,0,0,0,0.68,0,1.77,4.48,4.95,0,13.96,10853.96,0.7,11.22,85.64,0,6.42,0,0,0,2.77,306.82,0,3.41,0,0
 36-46,0,0,0,1.52,0,0,52.86,1.42,0,0,28.76,0,0,0,4.88,8.48,5.56,24.37,0,0,19.55,16380.32,5.49,4.07,12.86,0,4.28,0,0,0,0,1299.13,0,12.19,0,0
 48-58,0,0,0,1.03,0,0,104.54,1.62,0,0.41,36.8,5.2,0,0.97,0.74,0,4.96,8.23,0,0,0,5333.22,5.81,0,29.79,0,1.14,0,0,3.83,0,1234.03,0,1.32,0,3.74
 60-70,0,0,0,0,0,0,72.84,0,0,0,69.46,26.54,0,0,5.05,0,0,2.84,0,0,1.87,1493.26,0,0,30.34,0,0,0,0,0,0,371.1,0,11.29,0,0
 72-82,0,8.7,0,0.73,0,0,103.32,0,5.93,0.89,44.14,93.32,0.59,0,14.11,0,0,1.33,0,6.42,0,668.87,0,1.22,53.88,0,0,0,0,0,0,130.68,2.31,0,0,0
 84-94,0,2.78,0,1.71,0,0,49.21,0,0,0,27.01,196.62,0,0,17.89,0,0,5.06,0,0.72,0,613.66,0,0,78.85,0,0,0,0,0,0,164.76,0,0.56,0,0
 96-106,0,2.31,0,3.44,0.61,0,73.04,0,0,0,30.6,236,1.91,0,18.14,10.05,0,5.75,0,0,1.72,407.67,0,0,55.56,0,4.47,0,0,0,0,18.92,0,5.45,0,0
108-118,0,0.97,0,1.44,0,2.23,33.37,0,0,0,70.7,436.05,0,0,20.9,0,0,4.17,0,0.69,2.09,600.9,0,0,17.97,0,0,0,0,0,0,8.57,0,0,0.5,0
120,0,0,0,12.22,0,0,108.84,0,0,0,31.71,209.77,3.54,0,0,0,0,6.5,0,5.31,8.32,395.07,0,0,20.55,0,3.09,0,0,0,0,0,0,0,0,0
