stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,83.98,1566.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.87,0,0,0,0,0,0,0,0
  5-6,61.95,1033.44,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,31.9,8.98,0,0,0,0,0,0,0,0
  7-9,15.34,42.79,13.55,0,0,34.48,0,0,0,23.36,0,0,0,0,0,0,0,544.74,14.4,0,0,128.14,7.16,0,0,0,0,0,0,0,0
 10-12,0,17.24,5.95,0,5.18,40.05,0,0,0,11.19,0,0,0,0,0,0,0,371.62,7.83,0,0,109.4,0,3.78,0,11.41,0,0,0,0,0
 14-21,0,0,3.22,3.1,3.37,6.93,0,1.01,0,0,0,0.9,0,0,4.52,0,1.87,79.88,0,0,0.81,2.3,3.3,0,4.48,2.11,5.68,16.59,0,0,0
 24-34,0,0,0,4.27,0.98,42.44,0.63,8.17,0,0,0,0,0,0,26.31,0,9.53,304.83,0,0.84,5.4,0,1.48,0,0,0,0.6,59.89,0,3.21,0
 36-46,0,0,0,9.3,0.67,122.42,0,4.5,0,0,0,0,0,0,19.85,0.7,3.23,223.42,0,6.16,0,0,5.71,0,0,0,0,40.54,0,2.89,0
 48-58,0,0,0,1.78,3.66,128.06,0.4,0,0,0,0,0,0,0,13.6,0.53,0.82,118.34,0,0,0,0,0,0,0,0,0,11.52,0,0.48,0
 60-70,0,0,0,2.46,0,94.28,0,14.41,0,0,0.65,0,0,0,21.97,1.82,0.67,74.81,0,0,0,0,0,0,0,0,0,3.4,0,0,0
 72-82,0,0,0,1.16,0,19.75,0,4.42,0,0,0,0,0,3.3,5.9,0.87,2.47,15.42,0,0,0,0,0,0,0,0,0,0,0.67,0,2.3
 84-94,0,0,0,1.33,0,12.66,0,6.67,0,0,0,0,0,1.49,15.51,1.35,1.77,22.26,1.11,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.91,0,16.82,0,2.97,0,0,0,0,0,1.45,1.34,0,0.8,8.36,0,0,0,0,0,0,0,0,0,0,3.44,0.58,0
108-118,0,0,0,3.44,1.28,25.62,0,0.66,0.43,0,1.56,0,0,0,2.81,1.11,0,17.54,0,0,0,0,1.11,0,0,0,0,0,0,0,0
120,0,0,0,3.47,7.35,41.61,0,8.34,0,0,0,0,11.11,0,16.52,0,0,68.47,0,0,0,0,0,0,0,0,0,0,0,0,0
