stage,axial,blastomeres,epidermis,eye,fast.muscle,glial,hatching.gland,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,25.4,284.69,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0
  5-6,0,14.63,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0
  7-9,0,0,0,9.01,0,0,0,0,8.93,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,26.6,3.39,0,10.49,0,0,0,0
 14-21,0,0,4.58,0,0,0,0,0,1.91,0,0,0,0,1.15,1,0
 24-34,0,0,0.95,0,0,1.07,0,1.36,2.56,0,0,0,0,0,0.76,0
 36-46,0,0,0.87,0.75,0,0,0,0.99,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.39,0.47,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.62,10.96,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.55,0.55,1.4,0,0,0,0,0,0,0,0
 84-94,0,0,0.65,0,0,0.66,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.27,0,0,0.5,0,0.69,0,0,0,0,2.67
