stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,12.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,3.65,0,0,0,0,0,0,0.89,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,52.14,0,0,1.41,3.81,0,2.63,12.9,0,0,0,0,0.65,0,0.61,0,1.25,0
 36-46,0,0.79,0,6.46,0,0,1.2,0,0,29.3,0,0,2.07,0.84,0,0.78,9.62,0,0,0.74,0,0.59,10.38,2.87,0,0,1.74
 48-58,0,0,0,0.38,0,0,2.62,0,0,17.99,0.58,0,0.94,0,0,0,7.76,0,0,0,0,0.59,0,0.74,0,0,0
 60-70,0,1.27,0,0.94,2.94,0,1.19,1.1,0.66,74.16,0,0,3.56,0,0,0,29.03,0,0,2.66,0,4.8,0,0,0,0,0
 72-82,0,0.68,0,7.12,0,0,0,3.79,0,17.02,0,0,6.27,0,0,0,13.31,0,0,0,0,0.82,0,0,0,1.18,0
 84-94,0,3.61,0,13.44,0,0,1.76,16.99,0,44.96,0,1.23,0,1.39,0,0,9.27,0,0,2.35,0,15.39,0,0,0,0.63,0
 96-106,0,8.72,0,0,0,0,1.68,22.79,0,104.34,0.89,3.06,2.23,0,0,0,31.51,0.62,3.14,0.91,0,5.71,0,1.89,0,0,0
108-118,0,8.61,0.5,1.77,0,0.43,0,46.67,0,120.58,0.53,0,5,4.77,5.57,0,9.71,0,0,0.83,0,28.75,0,4.46,0.69,0,0
120,0,12.43,0,0,0,0,0,14.1,0,93.81,0,6.17,4.85,0,0,0,19.37,0,0,0,0,8.86,0,0,0,0,0
