stage,eye,glial,gut,mesenchyme,neural,visceral_smooth_muscle
 48-58,0,3.52,0,0,4.76,0
 72-82,3.81,0,0,0,0,0
 84-94,0,0,0,0,0,1.55
108-118,0,0,0.45,4.86,0,0
120,0,0,0,3.07,0,0
