stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,47.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.88,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.64,0,0,0,34.09,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.93,0,0,10.15,0,0,0,0,0,0,0,0,0,0,0,0,0,93.54,0,0,0,76.57,0,0,0,0,38.77,0,0,0,0
 14-21,0,0,0,6.4,7.53,18.83,0,0,0,2.01,0,0,0,0,0,0,11.4,6,46.11,123.34,0.9,1.1,4.54,1.44,1.06,299.47,0.9,1466.67,6832.8,17.04,0,0,1.35
 24-34,0,0,0,3.4,0.67,13.15,63.03,0,0,1.83,0,1.92,0,0.64,0,0.85,0,6.1,41.46,97.88,0,0,0,0,0.83,2.29,0,172.66,1570.67,8.08,5.58,0,0
 36-46,0,0,0,0.71,0,3.93,74.09,0,1.17,0,0,0,0,0,0,0,0,2.49,12.19,18.67,0,0,0,0,2.35,0,0,71.31,56.5,5.95,0,0,0
 48-58,0,0,0,0,0.63,2.81,24.57,0.63,0.45,1.39,0.39,0,0.7,0,1.04,0,0,5.22,37.55,17.46,0.61,0,0,0,0,0,0,25.97,0,3.36,0,0,1.64
 60-70,0,0,0,0,0,14.9,21.47,0,0,1.84,0,0,0,0,0.58,0,0,0,32.98,6.41,0,0,0,0.81,0,0,0,7.15,0,6.02,0,0,0
 72-82,0,0,0,0,1.64,0.8,19.19,0,0,0,0.85,0,2.93,0,0,0,0,2.93,9.93,10.18,0,0,0,0,0,0,0,2.11,0,0,2.19,0,0
 84-94,0,0,0,0,0.8,0,24.29,0,0.6,0.66,0,0,0,0,1.29,0,0,2.48,20.51,10.07,0,0,1.58,0,0.72,0,0,3.91,0,3.39,0,1.98,0
 96-106,0,0,0,0,1.92,7.04,15.85,0,0,2.99,0,1.57,0,0,0,0,0,0.74,16.01,18.41,0,0,5.62,10.66,0,0,0,9.23,0,0,0,0,0
108-118,0,0,0,0.46,0.92,0,6.16,0,0,2.32,0,2.89,0,0,0.42,0,0,5.38,16.82,17.32,0,0,3.08,0,2.05,0,1.88,0.47,0,0,0.48,0.63,0
120,0,0,0,0,4.05,0,26.88,0,0,0,0,0,0,0,0,0,0,0,52.18,4.33,0,0,0,0,0,0,0,1.32,0,0,0,0,0
