stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,muscle,neural,periderm,spinal.cord
  5-6,9.17,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.59,0,0
 14-21,0,0,0,0,0,0,0,0.95,0,1.04
 24-34,0,0,0,0.89,0,0,0,3.8,1.09,1.08
 36-46,0,0,0,0,0,0,0,1.21,0,0
 48-58,0,0,0,0.47,0,0,0,7.73,4.13,1.05
 60-70,0,0,0,0.96,0.79,0,0,10.42,4.33,1.18
 72-82,0,0,0,0,0,5.23,0.54,0,0,0
 84-94,0,0,0.57,0.8,0,2.33,0,0,0,2.45
108-118,0,0.49,0,0,0,0.79,0.61,0,6.76,0
120,0,2.69,0,0,0,0,0,0,1.28,0
