stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.17,746.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.06,0,0,0,0,0,0,0,0,0,0
  5-6,22.85,214.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.32,0,0,15.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.56,0,0,0,17.04,6.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.61,0,0,0,15.87,0,4.94,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,1.05,0,0.95,0,0,0,0.98,0,0
 24-34,0,0,0,0,1.96,0,2.82,0,0,0,0,0,0.71,1.29,0,0,0,0,1.72,0,0,3.56,0.7,0.63,0,0,1.59,0,0,0.94,0,0.63,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,1.56,0,0,0,0,4.32,0,0,0,0,3.3,0,0,0,0,0
 48-58,0,0,0,0,0,0,5.09,0,0,1.29,0.38,0,0,0,0,0,0,0.43,1.78,0,1.3,6.65,0,0.81,0,0,1.25,0,0,0,0,0.84,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,2.54,0,0.62,0,0,0,3.44,0,0,0,0,0.86,2.51,0,0,8.16,0,0.84,0,0,0.76,0,0,0,0,2.21,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,2.36,0,0.74,2.94,0,0,0,0,0,0.57,0,0.57,17.91,0,0.66,10.83,0,4.95,0,0,2.58,0,0,0,0,12.13,0,0,4.64,2.2,1.18
 84-94,0,0,1.04,0,2.81,7.87,6.91,0,0,3.41,0,0,3.08,1.17,1.13,0,0,0,14.97,0,0,16.28,4.96,0,0,0,4.9,0,0,0,0,14.81,0,1.27,4.94,0,6.18
 96-106,0,0,0,0,0.76,14.47,11.67,0.95,0,19.22,2.17,3.74,6.07,0,1.14,0,0,0,26.37,0.92,1.99,31.14,0,4.72,2.76,0,8.92,0,0,0,0,8.18,0,1.95,7.42,0,11.09
108-118,0,0,0,0,8.31,9.97,4.76,1.98,0.49,25.43,0.42,0,11.21,0,0,1.8,0.63,0,53.13,0,1.31,32.7,0,0.97,0.47,0,3.35,0.79,0,0,0,3.81,1.64,0,6.94,1.96,0
120,0,0,3.99,0,9.41,15.07,33.16,0,0,105.23,6.8,0,9.44,2.19,0,0,0,0,176.58,22.64,0,74.97,0,11.97,4.47,0,26.73,4.99,0,0,0,4.36,0,12.76,2.72,0,0
