stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,34.67,2.81,0,0,0,0,0,0,0,0,42.06,0,0,0,0,1.3,1.45,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,98.73,0,0,0,0,0,0,0,0,1.85,26.28,0,0,0,0,3.18,2.73,0,0,0,11.24,0,0,0,0,4.27,0,1.69,0,0,0,0,0
 36-46,0,0,318.85,0,0,0.74,0,28,0,0,0,0,104.65,0,0,0,0,0,2.93,0,0,0,14.71,0,0,0,0,0,0,7.46,0,0,0,0,0
 48-58,0,0,622.87,0,0,21.76,0,55.23,0,2.36,0,9.46,16.59,0,0,0,0,5.43,1.68,1.04,0.73,1.48,18.8,0,0,0,0,0,0,6.01,0,0,1.52,0,1.41
 60-70,0,0,1221.42,0,0,46.34,0,271.48,0.59,0.92,0,0,91.43,0,0,16.99,0,0,20.32,6.48,0,0.73,73.95,0,0,0,0,10.32,0,11.2,0,0,3.17,0,0
 72-82,0,0,803.43,0,0,15.09,1.84,177.05,5.6,15.33,82.99,1.42,88.18,0,0.59,0,0,0,35.11,7.68,0,0,34.87,0,0.49,0,1.67,0.52,0,11.47,0,1.42,5.98,0.81,4.74
 84-94,0.81,0,1751.73,0,0,10.46,0,320.38,0,7.3,1.57,6.41,70.01,2.1,0,1.22,0,5.72,23.48,9.42,0,0,39.76,1.16,0,0,1.59,3.13,0,0,0,0,26.46,0.72,0
 96-106,0,0,1812.61,34.52,1.56,56.41,1.08,469.84,4.13,11.96,273.31,58.07,302.59,0.9,0,1.6,16.2,0,146.35,20.12,8.97,20.27,212.02,0,2.97,2.3,5.45,15.53,1.11,0,0.92,5.67,30.69,16.69,1.22
108-118,0,0.56,1721.2,3.8,1.53,54.45,3.03,795.58,2.14,111.95,269.8,1.81,206.69,5.98,0.43,6.36,19.46,3.54,195.12,9.69,12.66,3.8,106.49,0,0.93,0.61,221.55,7.91,0.84,7.15,0,1.26,23.67,1.28,0
120,0,0,1374.93,0,3.41,52.58,0,527.39,0,9.46,106.19,5.25,366.07,2.37,0,0,49.95,0,120.41,10.47,4.29,0,62.1,0,1.09,0,4.05,15.19,0,0,1.19,0,38.71,1.45,0
