stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,29.2,344.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.23,0,0,0,0,0,0,0,0
  5-6,7.03,230.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.53,11.18,0,0,0,0,38.01,0,0,0,0,0,0,0,0,0,0,0,0,0,129.06,7.15,0,0,26.7,0,0,0,0,0,0,0,0,0
 10-12,0,7,0,12.53,0,0,17.21,0,0,0,0,3.04,0,0,0,0,0,0,0,0,114.12,3.62,0,0,32.09,0,0,0,24.88,0,0,0,0,0
 14-21,0,0,0,0.91,2.71,1.02,1.74,0,0,0,0,0,0,0,0,0,0,4.13,0,0.94,27.71,0,0,1.05,0.94,0,1.1,2.25,0,3.96,6.7,0,0,0
 24-34,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,2.37,0,0.86,19.43,0,0,0,0,1.9,0,0,0,0.62,5.98,0,0,0
 36-46,0,0,0,0,4.45,0,6.97,0,0,0.58,0,0,0,4.16,0,0,0,10.04,0,2.14,42.8,0,0,0,0,1.44,0,0,0,0,13.32,0,3.02,0
 48-58,0,0,0,0,0,0,13.59,0,0,2.2,0,0,0,0,0,0,0,4.01,0,2.06,42.13,5.02,0,0,0,0,0,0,0,0,3.88,0,0.38,0
 60-70,0,0,0,0,0,0,19.37,0,0,4.88,0,0,0,0,0,0,0,9.57,8.02,0.65,45.09,0,1.23,0,0,0,0,0,0,0,6.13,0,0,0
 72-82,0,0,0,0,5.48,0.51,31.13,0,0,1.69,0,0,0,0,0,0,0,7.34,0.97,0,33.91,0,0,0,0,0.61,1.65,0,0,0,10.7,0,0,0
 84-94,0,0,0,0,2.1,0,6.98,6.71,0,10.44,2.13,0,0,0,0,0,0,10.8,0,0,39.81,0,0,0,0,0.59,0,0,0,0,6.55,1.46,0,0
 96-106,0,0,0.81,0,0,0,21.29,0,0,9.53,0,0,1.19,0,1.02,0.63,0,1.92,0,0.88,96.47,0.61,0,0,0,0,0,0,0,0,6.67,0,0,0
108-118,0,0,0,0,3.3,0,49.35,0,1.14,40.61,0.45,0,0.75,0,0,0,0,10.67,0,1.08,215.41,0.69,0,0,0,0,0,0,0,0,6.25,0,0.62,1.03
120,0,0,0,0,4.27,0,38.62,0,0,54.26,0,0,4.2,0,0,0,1.51,6.74,0,0,674.37,2.06,9.31,0,0,1.6,0,0,0,0,13.33,3.76,0,0
