stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,10.32,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,12.22,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.81,16.18,0,0,4.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.06,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.13,2.28,0,0,0,22.32,0.83,0,0,0,0,1.15,0,0,0,9.77,0,0,0,0
 24-34,0,0,0,1.56,0,0,3.49,0.96,0,2.57,0,0,0,0,0,0,0,1.33,1.29,5.5,0,0,2.15,63.93,0,0,0,0,3.74,0,0,0,2.11,15.81,0,0,7.48,0
 36-46,0,0,0,0.57,0.57,0,13.96,0,3.83,0.64,0,0,0,0,0,0.56,0,2.66,0,12.26,0,0.67,14.77,87.29,0,0,2.32,0,3.03,0,0,4.24,0,13.92,0,0,9.9,0
 48-58,0,0,0,11.71,0,0,12.97,0.38,0,6.36,0,3.95,0,1.04,0,0,0,0,0,6.63,0,0,0.62,75.56,0.65,0.4,0,0,0,0,0,1.87,0,14.17,0,0,1.17,0
 60-70,0,0,0,0.67,0,0,27.22,0,0,10.12,1.57,0,0,4.9,0,0,0,0,0,17.15,0,0,1.54,111.08,0,0,1.12,0,5.31,0,0,0,0,10.2,0,2.56,2.38,0
 72-82,0,0,0.75,2.11,5.82,0,21.66,0,0.91,11.75,0,0,0.5,3.43,0,0,0,0,0,9.64,0,0,8.42,81,0,1.03,0,0,3.37,0,0.64,0,0,6,1.16,0,0,0
 84-94,0,0,0,3.24,0,0,7.88,0,0,10.74,2.44,0,0,3.64,0,0,0,0,0,2.44,0.84,9.91,6.88,19.8,0.69,0,0.79,0,7.91,0,0,0,0,6.32,0.78,0,10.95,0
 96-106,0,0,0,0.87,0,0.63,8.06,0,1.54,8.61,0,0,0,4.18,0,0,0,0,0,11.71,0,0,6.42,15.5,0,0,0,0,20.5,0,0,0,0,14.94,2.05,0,0,4.25
108-118,0,0,0,4.5,0,1.17,12.03,0,0.66,4.26,1.72,0,0,0,2.01,2.64,1.24,0,0,8.85,1.74,0,0,35.16,0,2.33,1.14,0,1.78,0,0,0,0,6.35,0,0,0,1
120,0,0,0,0,0,0,23.3,0,0,27.82,1.45,0,0,0,0,0,0,0,1.45,3.97,0,0,4.71,51.78,0,0,1.34,0,20.29,0,0,0,0,7.24,0,0,0,1.64
