stage,eye,immune,liver,mesenchyme,neural,otic,presomitic_mesoderm,somites,spinal_cord
 14-21,0,0,0,0,1.01,0,0.96,1.32,0
 36-46,0,0,4.9,0,2.57,14.04,0,0,0
 60-70,0,0,0,1.14,0,0,0,0,0.82
 72-82,1.75,0,0,0,2.03,0,0,0,0
 96-106,2.48,0,0,0,0,0,0,0,0
108-118,7.02,0,0,1.14,3.76,0,0,0,0
120,7.28,1.35,0,0,0,0,0,0,0
