stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,lateral_line,mesenchyme,muscle,neural,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,1.95,0,0,0,87.88,0,0,0,0,0,0,0.86,0,0,0,0,0
 24-34,0,0,1.66,0,0,0,139.17,0,0,0,3.61,0,3.61,0,0,0,0,6.52,0
 36-46,0,0,0,0,0,0,204.14,0,1.22,0,1.44,0,0,0,0,0,0,3.44,0
 48-58,0,0,0,0.73,0,0,105.61,0,0.43,0,4.93,0,0,0,0,0,0,10.59,4.4
 60-70,0.89,0.56,0,0,0,0,115.18,0,1.1,0,27.87,0,0,0,1.46,0,0,20.02,0
 72-82,0,0,0,8.9,0,0,198.29,0,1.38,0,8.95,0,0,0,0,0,0,39.52,0
 84-94,0,0,0,4.1,1.67,0,251.41,0,3.77,0.84,5.42,0,0.97,0,0,0,1.28,66.82,0
 96-106,0,0.73,15.53,9.67,1.95,0,297.4,0,7.52,1.09,13.9,0,0,0,0,0,0,102.85,0
108-118,0,0,1.12,7.82,1.35,1.98,303.02,0,9.69,0,12.13,0,0,0,0,0.5,0,114.95,0
120,0,2.67,1.22,2.99,0,16.79,452.07,1.15,33.81,0,25.19,3.07,2.32,0,0,0,0,196.99,0
