stage,epidermis,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,otic,spinal.cord,taste,vasculature
 14-21,0,0,0,1.33,0,0,0,4.57,0.97,0,3.65,0,0
 24-34,0,0.62,0,0,0,0,0,5,0,0,0.73,0,0
 36-46,0,0,0,0,0,1.51,0,7.57,0,0,0,0,0
 48-58,0,0.42,0,0,0,2.37,0,21.48,0,0,4.1,0,0
 60-70,0,11.87,1.23,1.43,0,0.83,0,18.81,0,0,1.28,0,0
 72-82,1.27,58.29,0,0,0,6.41,0,26.41,0,1.68,7.56,0,0.57
 84-94,1.38,43.72,23.29,0,0,0.69,0,14.76,0,0.96,2.02,0,0
 96-106,6.4,26.38,3,0,0,0,1.03,4.08,0,0,0,0,0
108-118,19.14,82.34,1.41,0,0,5.61,0,14.47,0,0,0,1.35,0
120,36.33,19.26,9.04,7.39,2.5,14.53,0,20.66,0,0,0,0,0
