stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,25.91,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0,0,0,0
  5-6,0,67.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.75,0,3.93,0,4.34,0,4.94,0,0,74.82,0,0,0,23.07,0,0,0,0,0,0,0
 10-12,0,9.32,0,0,6.07,0,0,0,0,99.22,0,0,0,8.18,0,7.73,0,0,0,0,0
 14-21,0,0,0,0.85,0,0,0,0,0,3.21,0,0,0,0,0,0,0.92,1.79,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,7.5,0,0,0.61,0,0.81,0,0,0,0,0,0
 36-46,0,0,0,0,11.38,0,0,0.76,0,19.3,0,0,0,0,0,0,0,2.11,0,0,0
 48-58,0,0,0,0,0.81,0,0,0,0.77,21.15,0,0,0,0,0.46,0,0,1.79,0,7.59,0
 60-70,0,0,0,0,3.3,0,0,0,0,9.58,0,0,0,0,0,0,0,1.06,0,0,0
 72-82,0,0,0,0,3.67,0.58,0,3.66,0,1.08,0,0,0,0,0,0,0,0,0,0,2.33
 84-94,0,0,0,0,2.48,0.95,0,0.6,0,11.15,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.93,0,0,0.93,4.65,0,2.18,0,0,0,0,0,0,1.68,0,0
108-118,0,0,0,0,0.55,0,0,0.92,0,3.62,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,3.92,10.24,0,0,0,0,0,0,0,0,0,0
