stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,169.56,2503.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.71,0,0,0,0,0,0,0,0,0
  5-6,135.54,1641.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.74,0,0,0,6.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.75,4.62,0,21.4,0,0,118.75,0,0,0,0,0,27.33,0,0,0,0,0,0,0,0,0,0,0,1026.99,15.16,0,0,240.2,0,0,57.99,0,0,0,0,0,0,0,0
 10-12,0,18.86,0,62.39,0,4.74,97.81,0,0,0,0,0,21.45,0,0,0,0,0,0,0,0,0,0,0,895.71,38.02,0,0,257.01,0,0,35.08,0,68.63,0,3.51,0,0,0,0
 14-21,0,0,0,6.13,54.46,7.67,28.54,0,0,0,16.32,3.71,0,0,0,1.72,0,1.14,0,0,32.3,0,0,27.54,543.46,10.38,1.09,5.84,16.43,0,40.01,2.54,24.12,1.28,22.29,142.16,0,0,0,0
 24-34,0,0,0,3.73,23.88,2.46,102.47,0,0,0,17.43,1.31,0,4.27,0,1.94,7.52,0,3.58,0,66.49,1.77,4.86,25.12,827.39,2.17,4.54,16.66,1,0,36.6,0,2.33,0,5.47,160.18,0,15.19,0,0.72
 36-46,0,0,0,0,17.73,2.9,117.24,0,1.12,0.62,14.07,0.67,0,0,0,0,0,0.6,1.5,0,63.32,0,0.86,19.29,371.23,6.17,0,1.5,0,0,18.61,0,0,5.3,0,72.31,1.37,19.65,0,0
 48-58,0,0,0,0,21.87,2.45,123.69,0.38,1.71,0,23.47,0.39,0,0.41,0.95,0.55,0,0.42,0,0,72.66,0.74,2.51,9.51,148.95,0,0.52,2.3,0,0,3.05,0,0,0,0,25.92,0,10.66,0,5.73
 60-70,0.81,0,0,0,10.93,0,66.11,0,0,0,13.91,0.65,0,0,0,0,0,1.79,0.74,0,50.85,0,2.47,2.33,94.44,0,1.94,3.91,0,2.34,2.99,0,0,0,0,8.7,0,8.4,0,0
 72-82,0,0,0,0,9.42,0,31.6,0,8.97,2.68,14.42,1.62,0,0.5,1.14,2.33,0.72,0,0.8,0,47.94,1.01,2.03,6.63,50.75,0,0.55,3.85,0,0,1.29,0,0,0,0,2.76,0,4.73,0,1.17
 84-94,0,0,2.24,0,6.57,8.13,26.72,0,0,4.16,21.34,0,0,2.85,3.88,0,0,0,2.88,0,56.53,0,5,7.98,43.86,0.98,1.96,8.61,0,0,9.58,0,0,0.57,0,0,0,4.44,0,0
 96-106,0,0,0,0,7.42,0,27.35,0,0,0.81,15.42,3.63,0,3.21,2.03,0,8.33,2.59,2.31,0.57,48.97,1.41,6.15,1.79,34.23,0,1.56,10.72,0,0,19.13,7.21,0,0,0,0.99,0,19.5,0,0
108-118,0,0,0,0,10.8,4.3,16.41,0,0,3.08,20.38,1.83,0,1.49,4.39,0.91,0.69,0,4.6,1.97,43.79,0.53,3.05,6.03,76.54,0,0,6.4,0,0,2.56,0,0,0,0,0,0,5.11,0.54,0
120,0,0,0,0,1.14,7.65,71.45,0,1.42,2.48,39.39,2.75,0,0,6.48,0,0,0,1.06,0,60.56,0,0,3.44,96.44,0,1.77,0,0,0,5.01,0,0,0,0,2.03,10.18,16.3,2.31,0
