stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,40.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.08,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.03,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,16.82,0,0,0,0,0,7.41,0,0,0,0,0
 60-70,0,0,0,0.67,0,0,7.92,0,0,0,1.04,6.7,0,0,0,0.85,0,9.05,4.5,0,0,0,1997.48,0,0,0,0,1.08,425.85,0,0,0,0,0
 72-82,0,0,0,250.53,20.92,0,73.6,0,0.66,0.77,16.33,0,0,0,0,0,0,0,18.93,0.92,0,0,3617.91,0,1.33,0,1.08,2,303.2,0,0,0.58,0,28.15
 84-94,0,225.4,0,92.97,5.64,0,90.2,0,4.97,0,1.45,0,0,1.55,1.69,0,0,0,3.41,0,0,0.95,4057.56,0,2.82,1.1,0,1.2,380.97,0,1.74,2.72,11.26,0
 96-106,0,1351.75,0,15.08,19.31,0,159.27,11.54,0,6.62,394.55,227.69,0,1.66,3.17,0,0,0.96,21.14,0,0,2.86,6692.21,0,19.31,1.48,2.4,12.41,24.03,1.26,0,6.95,7.41,4.69
108-118,0,644.59,0,114.42,8.9,0,539.29,4.22,4.68,2.41,15.81,421.72,1.42,2.79,1.17,1.11,0,5.15,12.59,0,36.56,0,10089.3,0.59,1.18,0.42,0,10.64,69.98,1.89,0,0.63,59.94,9.47
120,0,0,1.28,7.61,0,5.28,171.95,2.98,0,6.63,0,8.46,0,0,0,0,2.98,0,32.1,1.39,0,13.71,7379.04,1.87,2.34,0,0,4.06,651.54,0,0,5.48,122.14,0
