stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.94,0,0,0,0,0,0,0,0,0,0,0,0,0,26.22,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,23.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,390.2,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,4.24,0,0,0,0,1.01,0.92,0,0,0,2.24,0,0,0,0
 24-34,0,2.44,667.38,5.79,0,0,0,0,0,0,0.94,0,2.68,1.95,0.66,0,3.66,46.38,0,0,0,0,1.37,0,0,0,0,10.12,0,2.82,0,0
 36-46,0,0,442.63,4.75,0,0,0,0,0,0,0,0,0,0,1.75,0,3.85,38,0,0,0,0,0,0,0,0,0.83,5.97,0,0,0,0
 48-58,0,2.6,642.68,9.06,0,0.55,0.53,2.3,0.51,6.24,5.24,0,0,0,30.36,0.52,0.49,62.17,1.2,0,0,0,1.24,0,0,0,0,19.9,0,5.01,0,4.6
 60-70,0,4.92,810.74,23.29,0,0,0,5.46,0.57,8.43,1.38,0,1.51,0,132,0,0.77,66.79,0,0,0,0,2.29,0,0,0,0,11.21,1.3,17.97,0,0
 72-82,0,0,1423.75,43.18,2.25,0.61,0,12.96,0,5.47,7.89,0,3.08,0,347.41,0,0.62,84.06,0,0,0,0,3.71,0,0.53,0,0,1.64,0.99,44.75,0.52,4.66
 84-94,0,6.5,1335.18,39,0,0,0,3.09,2.93,3.11,3.81,0.55,1.92,0,229.54,1.42,15.62,58.03,0,0.95,0.7,0,0,0,0,0,0,8.47,0,33.79,5.26,9.28
 96-106,0,3.25,2072.22,57.89,0,0,0,1.9,0,2.59,3.72,0,7.54,0,248.66,0,6.88,85.76,0,0,0,0,1.17,0,0,0,0,0,3.92,59.13,3.11,8.79
108-118,0,8.82,1028.39,52.47,0,0,0,4.16,0,8.07,1.4,7.13,0,0,427.31,6.63,3.24,74,0,0,0,0,5.96,0,0,1.13,0,2.31,2.86,61.71,2.25,0
120,0,0,1117.69,40.69,0,0,16.69,2.66,4.56,4.37,0,0,20.99,0,437.98,1.41,0,127.82,0,0,0,0,1.24,0,0,0,0,12.37,0,91.69,0,0
