stage,epidermis,eye,glial,gut,melanocytes,mesenchyme,mural.cell,muscle,neural,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0.94,0,0
 24-34,0.67,0,0,0,0,3.28,0,0,35.46,0.68,3.37,0,0
 36-46,0,0.83,0,0,0,0.89,0,0,54.39,0,6.41,0,0
 48-58,0.63,0,0,0,0,1.84,0,0,23.23,0.88,11.89,0.61,2.45
 60-70,0,0,1.13,0,0,5.43,0,0,15.05,0,4.54,0,0
 72-82,0,0,0,0,0,10.09,0,0,13.45,0,0.81,0.52,0
 84-94,0,0,2.73,1.31,0,7.12,0,0,14.73,0,4.14,0,0
 96-106,0,0,1.82,0,0,3.55,2.42,0,1.16,0,2.71,0,0
108-118,0,0,0,0,1.73,7.6,0,0,1.27,0,0,0,0.7
120,0,1.21,0,0,0,15.62,0,3.51,0,0,0,0,0
