stage,axial,epidermis,eye,fast.muscle,fin.epithelia,glial,heart,ionocyte,liver,mesenchyme,mucous,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  5-6,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.51,0,7.83,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0,0,0
 24-34,0,0.86,1.1,0,0.74,0,0,0,0,0,0.66,17.81,0,0,177.99,0,0,4.93
 36-46,0,0.76,0,0,4.96,0,0,0,0,0,6.73,0.77,0,0,170,0,0,0
 48-58,0,2.15,2.23,0,0,0,0,0,0,0.78,2.21,9.73,0,0,223.11,1.21,0,0
 60-70,0,5.26,3.32,1.33,2.91,0,0,0,0,0,0.73,1.13,0.71,0,225.76,0,0,0
 72-82,0,11.68,9.02,0,0,0,0,0.52,0,0,0,3.28,0,0,137.87,0,0,0
 84-94,0,9.3,1.46,0,4.15,0,0,5.92,0,0,2.18,4.88,0,0,360.35,0,4.03,0
 96-106,0,22.62,0,0,0.66,4.06,0,0.63,0,0,3.92,0,0,0,247.41,0,0,2.41
108-118,0,14.64,3.24,0,1.93,0,1.02,0.44,2.34,0,3.17,0.88,0,0,197.36,0,0,0
120,0,64.18,0,0,4.77,0,0,1.65,0,12.2,2.93,6.54,0,0,234.62,0,1.63,0
