stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0,5.47,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.05,33.95,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,5.27,13.86,0,0,0,0,0,0,0,0,0,2.25,11.09,0,6.4,0,0
 24-34,0,0,0,4.09,7.64,0,1.67,0,0,0,0.64,0,0.92,3.17,1.71,0,0,0,1.37,2.36,0,0,1.14,37.17,0,0,0,0,0,0.75,0,0,0,0,14.5,0,31.28,0,2.82
 36-46,0,0,0,4.57,4.4,0,49.22,5.61,0,0,0,0,1.93,0,0,1.49,0.74,0,0.58,3.12,0,0,0,122.68,0.88,0,2.33,0,0,0,0,0,0,0,23.59,0,29.23,0,0.81
 48-58,0,0,0,7.83,2.24,0,112.33,0,0.8,0.43,9.79,0,2.29,7.46,0,0,0,0,0,5.57,0.53,0,3.31,123.27,0.5,1.27,3.52,0,0,0.59,0,0,0,0,29.71,0,37.82,0,2.71
 60-70,0,0,0,12.09,1.76,0,447.88,3.15,2.67,0,4.28,0,9.21,31.69,3.46,0,10.2,0,0,17.58,1.99,0,2.25,196.8,0,0.67,3.73,0,0,0,0,0,0,0,24.75,0,19.88,0,7.93
 72-82,0,0,0,23.89,60.09,0,775.95,0.59,1.26,0,11.26,0,2.97,21.97,0,0,1.35,3.59,2.66,22.07,4.17,0,0,228.1,0.55,2.03,22.21,0,0,0,0,0.57,0,0,25.41,9.56,92.12,1.68,5.59
 84-94,0,0,0,22.78,42.78,1.17,443.07,0,14.29,0.77,9.43,0,2.63,51.67,1.69,0,1.7,1.28,1.77,27.66,2.26,0,0,132.86,0,2.78,15.83,0,2.02,0,0,6.32,0,0,15.8,16.45,48.49,3.11,1.5
 96-106,0,4.36,0,36.94,118.76,0,508.39,0,9.98,3.4,21.53,1.98,1.89,18.81,1.03,1.37,9.13,23.63,2.74,16.59,0.7,5.01,1.04,139.95,0.85,8.5,28.55,0,1.28,7.61,0,5.2,4.81,0,11.58,15.89,93.15,4.07,0
108-118,0,0,0,30.17,62.31,7.53,470.64,0,10.53,2.65,21.44,3.36,0.44,17.19,0.79,0,3.82,3.8,0,10.84,0.54,0,0.45,174.61,0.55,1.25,25.09,0,0,0,0,0,1.16,0,14.98,19.4,71.9,3.61,3.22
120,0,0,0,59.87,60.27,1.89,323.14,1.01,9.58,10.43,23.97,2.4,0,41.54,7.01,0,7.03,1.16,0,26.47,0,0,0,215.37,0,21.41,19.39,0,0,0,0,7.82,0,0,0,3.73,87.42,1.59,0
