stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,36.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.49,8.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,1.29,0,0.84,6.24,0,0,0,8.59
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,1.37,0,0,0,0,25.09,0,0,0,0,0,0,0,0.61,0,7.01,0,0,0,73.41
 36-46,0,0,0.85,0,0,0,0,2.53,0,0,0,2.07,0,0,0,0,0,0,0,1.18,0,0,0.56,25.06,0,0,1.15,0,0,0,0,0,0,15.63,0,0,0,437.71
 48-58,0,0,0,0,0,0,0,22.07,1.46,1.92,1.05,1.45,0,0,0,0,0,0.96,0.89,5.72,0,0,0.4,70.34,0,0,0.62,0,3.95,0,0,0.46,0,16.93,0,2.2,0,1372.78
 60-70,0,0,0,0,0,0,0,41.48,0,3.7,4.02,3.98,0.87,0,0,8.99,0,9.69,0,10.98,0,0,0,138.96,0,0,0,1.44,0,0,0,0,0,12.58,0,0,0,1061.6
 72-82,0,0,1.85,0,4.75,1.09,0,88.03,0,37.61,13.55,21.11,0,0,0.63,0,0,123.98,1.89,19.82,1.09,0,2.78,383.92,0,0,1.57,0,0,1.65,0,0.8,0,50.91,0.8,0,0,1413.91
 84-94,0,0,0,0,2.68,4.98,0,78.21,0,16.79,16.26,58.99,1.6,0,0.83,8.29,0,309.49,0,22.35,0,1.48,1.01,286.8,0,0,0,0,11.08,0,0,0,0,19.05,0.72,0,0,563.95
 96-106,0,0,3.96,0,8.52,17.88,1,115.68,0,12.24,21.58,128.48,0,2.4,5.96,3.02,0,564.19,0,29.15,0,0,3.68,366.54,0,0,2.08,0,3.11,0,0,0,0,25.05,0,0.84,3.11,384.96
108-118,0,0,0,0.74,3.89,8.61,1.53,116.11,0,23.76,19.81,101.81,0,1.81,0,1.76,5.26,758.73,0.68,53.76,0,1.58,3.37,531.13,0.59,0.94,0,0,0.79,0,0,0.42,0,31.52,1.4,2.87,0,236.82
120,0,0,2.94,0,6.47,2.24,0,37.92,0,13.2,21.3,44,1.85,0,0,8.12,0,309.37,1.33,32.81,0,0,6.66,626.5,1.18,0,0,0,0,0,0,0,0,47.25,0,0,0,72.99
