stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,1.27,0,0,0,0,0,0,0,0,0,0.87,0,7.71,0,0,0,0,0.83,0,0,1.93,0,0,0
 24-34,7.97,0,1.2,0,0.62,0,0.72,0,0,0,3.18,1.36,35.32,0,2.39,0.88,3.71,0,0,0,1.98,0,0,0
 36-46,0,0,2.24,0,3.81,0,0,1.48,0,0,4.15,0,26.11,0,0,0,2.05,0,0,0,7.37,0,0.8,0
 48-58,2.47,0,4.19,0,0,0,11.58,0,1.27,0,9.46,1.01,26.36,0,0.44,0,0,0,0,1.46,4.75,0,0,0
 60-70,0.9,0,10.26,0,0.69,0.72,1.18,0,0,0.93,3.94,0,16.69,0.66,0,0,2.66,0,0,0,3.75,0,0,0
 72-82,0,9.56,22.12,2.53,0,0.82,1.93,0,1.71,0,7.15,0,25.22,0,0,0,0,0,0,0,1.53,0,6.94,0.56
 84-94,1.04,0,4.92,0,0,0,0.64,0,0,0,5.73,0,30,0,0,0,0,0,0,1.3,4.24,0,0,0
 96-106,4.32,16.17,5.03,0,0,1.74,9,0,0,0,5.59,0,30.63,0,0,0,3.79,0,0,0,0,0,0,0
108-118,0,0,7.92,0,0,0,2.14,0,0,0,1.44,1.88,6.35,0,0,0.44,0,0,0.47,0,0,0,0,0
120,0,0,0,2.44,3.37,0,0,0,0,1.6,0,0,58.23,0,0,5.44,1.57,0,0,0,5.77,3.24,0,0
