stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.98,125.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811.45,0,0,0,0,0,0,0,0,0,0
  5-6,13.45,114.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.15,0,0,0,0,0,1239.27,0,0,0,0,0,0,0,0,0,0
  7-9,4.14,0,0,0,0,0,0,14.09,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,111.58,3.25,0,0,15.15,0,215.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.27,0,7.5,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779.95,0,0,0,18.47,0,94.6,0,4.44,0,0,0,0,0,0,0,0
 14-21,2.31,0,0,2.41,203.92,0,0,2.97,0,0,0,0,0,0,0,0,304.99,0,0,0,0,22.7,0,0,64.78,0,1.02,1.08,1.8,0,954.8,2.37,0,0,0,5.86,0,0,0,0,0
 24-34,0,0,0,0,40.84,0.87,0,5.89,0,1.83,0,0,0,3.04,0,0,247.31,0.83,1.39,0,4.31,81.86,0,2.87,86.96,0.73,28.28,0,0,0,920.01,0,0,0,0.63,6.16,0,0,1.15,0,0
 36-46,0,0,0,0,49.24,0,0,12.3,0,7.09,0,0.8,0,0,0,1.92,62.76,0,0.57,0,4.04,28.11,0,4.56,112.31,0,16.51,0,0,0,997.53,0,0.75,0,0,9.08,0,0,1.65,0,1.45
 48-58,0,0,0,0,66.43,0,0,8.38,0,4.48,0.78,7.42,1.73,0,0,0,122.66,0,0,1.04,7.89,27.98,0.44,1.31,110.29,0.91,30.02,0,0,0,790.3,0,2.6,0,0,10.74,0,0,0.58,0,0
 60-70,0,0,0,0,53.25,0,0,19.24,0.66,11.29,0,8.71,1.9,2.55,0,0,69.48,0,3.1,2.75,10.73,10.91,3.8,0,109.3,0,14.71,1.03,0,0,823.27,0,1.69,0,0,17.27,2.18,0,0,0,0
 72-82,0,0,0,0,104.83,7.51,0,28.75,0,8.33,1.2,36.52,11.04,0,2.28,2.18,127.64,0,0,1,21.84,30.9,4.48,0.59,109.27,4.77,14.96,0.56,0,0,915.06,0,2.29,0,0,8.3,7.98,0,4.91,3.66,0
 84-94,0,0,0,0,192.59,0.85,0,13.7,0,39.96,1.75,6.51,13.75,0.71,0.82,0.59,193.53,1.32,0,7.6,20.78,46.85,4.82,0,42.54,0,32.18,1.8,0,1.59,2242.31,0,0.8,0.83,0,5,16.64,5.29,9.07,0,5.71
 96-106,0,0,1.68,0,246.11,16.07,1.05,67.88,6.3,38.89,1.21,37.3,36.84,0,2.2,0.61,179.03,3.36,2.49,1.3,42.48,78.24,3.05,2.84,113.55,0.81,42.98,1.86,0,4.63,2132.18,0,0,0,0,0,14.77,0,1.2,11.15,3.46
108-118,0,0,0,0.49,234.47,2.57,3.56,20.85,6.29,33.3,0,13.07,26.64,0,0,4.14,182.95,1.19,0,12.62,20.76,80,0.56,3.84,99.14,0,27.47,0,0,0,1833.14,0,0,0,0,5.3,27.98,0.75,3.54,2.88,8.09
120,0,0,0,0,318.7,0,0,9.99,1.26,70.46,0,20.78,21.19,0,0,0,104.79,0,4.79,3.09,21.2,58.08,0,5.56,103.9,0,31.56,5.9,0,12.66,1119.05,0,0,0,0,0,14.57,6.5,0,0,0
