stage,endocrine_pancreas,eye,glial,lateral_line,neural,olfactory,otic,periderm,spinal_cord
  7-9,0,0,0,0,4.47,0,0,0,0
 10-12,0,0,0,0,4.62,0,0,0,0
 14-21,1.07,0,0,0,1.76,0,0,0,1.08
 24-34,0,0,0,0,7.24,0,0,0,0.59
 36-46,0,1.34,0,0,29.77,0,0,0,4.99
 48-58,0,5.27,0.6,0,44.14,0.86,0,0,12.56
 60-70,0,18.36,0,0,68.23,0,0,0,9.47
 72-82,0,31.46,1.37,0,34.91,0,0,0,0.57
 84-94,0,21.21,0.68,0,21.52,0,1.75,0,0.59
 96-106,0,21.15,0,2.78,26.73,0,1.74,0,1.52
108-118,0,1.99,0.55,0.51,23.32,1,0,0,0
120,0,0,5.41,0,31.88,1.11,0,1.42,0
