stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.7,310.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.09,195.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.42,0,7.63,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,33.38,0,8.69,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.44,0,0,0,61.85,0,0,0,0,0,0,11.77,0,0,0,0,0,0
 14-21,0,0,7.75,1.31,20.05,50.32,0,0,0,0,0,0,0,1.84,0,0,0,0,0,0,56.02,0,0,78.87,37.26,2.38,0,0.88,7.82,0,0.98,0,10.22,430.61,1462.82,370.88,4.29,0,0,76.52,0,0
 24-34,0,0,6.55,1.53,24.64,16.08,0,14.15,485.75,1.04,1.23,7.52,0,9.49,7.29,0,3.58,9.43,0.77,0,160.8,0.68,0,270.81,320.78,5.53,2.35,14.17,0,0,13.7,0,3.11,179.03,1058.54,491.9,49.66,0,0,423.98,0,1.37
 36-46,0,0,0,0,8.09,4.85,0,10.81,775.14,0,7.27,2.94,0,10.91,6.49,0,0,10.9,4.41,8,204.54,0,0,176.05,224.38,3.6,4.62,15.42,0,0,18.55,0,1.63,42.57,833.62,52.18,33.26,0,0,270.47,0.78,1.67
 48-58,0,0,3.66,0,2.97,2.22,0,96.09,705.78,6.98,45.19,15.16,0,24.17,12.67,0,6.99,6.78,16.21,1.86,410.68,0,0.72,94.68,361.08,9.77,5.35,14.11,0,0.95,9.2,0,0,45.32,430.01,0,44.57,0,3.6,202.19,0.81,1.53
 60-70,0,0,3.02,1.19,25.89,3.52,0,125.55,625.15,1.49,36.57,10.68,11.4,14.44,43.97,0,1.8,8.19,30.02,0,586.7,0,5.59,115.22,268.68,0,5.56,74.68,8.92,0.97,6.49,0,0,35.47,248.41,0,34.93,0,4.01,260.35,9.23,5.98
 72-82,0,0,5.41,4.93,25.11,4.72,6.12,128.55,446.8,0,33.69,14.79,14.59,22.72,42.89,0,0,24.23,42.88,0,598.25,6.51,6.07,69.39,259.71,0.56,2.63,55.71,1.13,0.8,6.56,0,0,27.02,250.15,0,4.55,1.9,8.25,347.12,18.74,21.46
 84-94,0,0,9.83,15.85,30.93,37.07,26.85,179.42,914.65,4.17,17.71,35.8,8.79,11.93,80.35,0,4.09,10.5,170.06,0,567.6,0,8.22,101.95,257.89,0,21.29,95.97,0,1.53,27.09,0,0,89.52,302.21,0,16.8,10.07,7.91,363.76,36.54,0
 96-106,1.12,0,10.9,39.2,51.15,55.57,22.2,224.72,1149.98,19.17,22.51,61.92,45.36,18.1,78.72,4.66,4.12,32.08,263.42,0,463.31,2.02,15.28,99.45,309.94,3,26.26,123.8,12.05,9.2,36.63,4.11,0,65.12,375.77,0,8.85,36.4,15.77,386.24,20.18,36.69
108-118,0.67,0,10.31,52.74,48.91,12,44.59,149.56,874.96,0.67,16.44,25.17,33.33,15.97,63.79,2.04,13.3,13.14,391.06,0,449.76,0.53,10.71,100.62,229.22,0.71,19.63,90.38,0,9.03,17.61,0,0,67.38,320.37,0,10.43,33.72,1.17,314.04,18.52,15.45
120,0,0,12.71,17.34,51.9,10.18,20.01,79.95,579.8,0,2.9,48.01,20.08,9.26,63.8,3.87,0,12.4,191.85,0,306.91,0,0,136.78,185.7,17.54,5.41,136.24,0,0,8.09,0,11.19,43.66,237.28,0,0,27.01,2.12,228.55,2.7,0
