stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,iridophores,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord
 14-21,0,0.88,0,0,0,0,0,0.94,0,4,0,0.85,0,0,1.71,5.57
 24-34,0,0,0,1.34,0.69,0,0,0,0,4.91,0.64,0,0,5.11,0,2.98
 36-46,0,0,0,1.21,0,0,0,0,0,17.03,0.67,0,0,0.76,0,1.1
 48-58,0,0,0,6.19,2.15,0,0,0.39,0,41.2,0,0,0,2.45,0,1.37
 60-70,0,0,0,4.19,0.97,0,0,1.82,0,46.33,0,0,0,0,0,3.8
 72-82,0.87,0,0,0.65,0.66,0.53,0,1.39,0,30,0.57,0,2.01,0,0,1.23
 84-94,0,0.8,0,4.03,0,0,0,3.28,0,22.73,0,0,0,3.06,0,3.75
 96-106,0,0.6,4.71,3.53,0.94,0.83,0.75,1.06,1.04,7.21,0,0,0,2.97,0,0
108-118,0,0,0.69,2.17,0.53,0,0,0,0,22.39,0,0,0,2.19,0,0
120,0,0,0,3.1,0,0,0,0,0,27.44,0,0,0,4.5,0,7.24
