stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,somites,spinal.cord,taste,vasculature
  7-9,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0.89,17.2,0,0,0,0,8.62,0,0
 24-34,0,0,0,4.22,0,0,0,0.76,0,0,0,3.93,0,0,106.86,0,3.63,0,0.65,21.64,0,0
 36-46,0,0,0,6.67,0,0,4.97,0,0,0,0.61,2.06,0,2.6,233.53,0,0.84,0,0,41.84,0,0
 48-58,0,0,0,40.49,0,0,6.1,0,0,0,0,3.18,0,0,249.53,0,0,0,0,46.31,0,1.27
 60-70,0,0,0,85.69,0,0,5.22,0,0,0,0,4.81,0,0.9,307.04,1.73,1.67,0,0,52.77,0,0
 72-82,0,0.64,0,89.05,0,0,10.89,0,0,0,0,0,0,0,226,0,0.67,0,0,14.87,0,0
 84-94,0,0,1.92,73.93,0.68,0.67,7.59,0,0,0,0,0.93,0,0.68,214.12,0,1.97,0,0,17.36,0,7.79
 96-106,0,0,0,32.85,0,0,2.73,0,0.74,7.59,0,3.84,0,1.26,100.83,0,1.88,0,0,5.48,0,4.94
108-118,0,0,0,40.36,0,0,12.31,0,0,0,0,5.8,1.06,0,143.67,0,0,0,0,3.67,3.42,1.44
120,0,0,0,61.77,0,0,13.03,0,0,0,0,0,0,0,199.59,0,19.07,2,0,0,0,0
