stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.54,41.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,101.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.25,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.4,0,0,0,15.59,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.07,5.93,0,0,0,0,0,0,12.23,0,0,0,0,0
 14-21,0,0,0,3.86,1.82,2.5,0,0.87,0,0,0,0,6.79,0,0,0,0,0,0,0,1.28,0,0,13.44,0,5.23,0,0,0,7.53,5.98,3.47,57.21,0,0,0,0
 24-34,0,0,0,0,4.29,0,0,4.17,0,0,0,0.7,28.27,0,0,0,0,0,0,1.34,0,0,0,74.48,0,0,1,0,4.78,12.07,0,0,163.33,0,0,0,0
 36-46,0,0,0,0,3.17,0,0,0.9,0,0,0,10.66,0.72,0,0,0,0,0,0,3.57,0,0,1.62,135.34,0,0,6.33,0,2.32,0,0.73,0,10.89,0,0,0,0
 48-58,0,0,0,0,3.21,0,0,8.22,0,0,0,31.13,0,0,0,0,0,0,0,0,0,0.52,1.65,162.2,0,0,0.39,0,2.61,0.92,0,0,30.37,0,0,0,0
 60-70,0,0,0,0,0.66,0,0,24.52,0,0,0,17.35,0,0,0,0,0,0,0,8.86,0,0,0,339.09,0,0,2.32,0,0.6,0.76,0,0,90.02,0,0,0,0
 72-82,0,0,0.54,0,3.37,0,0,81.02,7.1,0,0,8.79,0.69,0,0,0,1.53,0,18.01,25.67,0,0.75,0,712.37,0,2,5.13,0,0.49,0.73,0,0,153.65,0.68,3.77,4.68,1.87
 84-94,0,0,0,0,2.24,0.92,0,49.57,0,0,0,8.05,0,0,0.8,0.74,0,0,0,15.01,0,1.78,0,509.47,2.32,0,2.51,0,4.74,4.46,0,0,59.15,2.25,0,0,0
 96-106,0,0,0,0.87,4.25,1.39,0,94.63,0,0,0,16.82,1.38,0,0,0.91,0,0,0,37.53,0,0,0,492.78,0,0,3.8,0,8.71,0,0,0,36.65,10.23,5.8,0.85,0
108-118,0,0,0,0.49,4.78,0,4.13,84.07,0.56,2.13,4.21,26.4,0,0.72,0,0,0,0,0,32.76,0,21.81,0,746.24,0,0,13.31,0,1.65,0.64,0.55,0,22.63,5.04,0.81,1.65,5.66
120,0,0,0,0,7.9,4.14,0,178.54,0,0,0,28.78,1.61,0,0,7.23,0,6.57,0,28.88,0,42.28,0,1313.35,0,0,0,0,4.22,3.93,0,0,68.9,0,0,0,0
